Step,Sequence,Combination Value
1,"[ -1 -4 -6 -4 -1 ]",-16
2,"[ -1 -4 -6 -4 0 ]",-15
3,"[ -1 -4 -6 -4 1 ]",-14
4,"[ -1 -4 -6 0 -1 ]",-12
5,"[ -1 -4 -6 0 0 ]",-11
6,"[ -1 -4 -6 0 1 ]",-10
7,"[ -1 -4 -6 4 -1 ]",-8
8,"[ -1 -4 -6 4 0 ]",-7
9,"[ -1 -4 -6 4 1 ]",-6
10,"[ -1 -4 0 -4 -1 ]",-10
11,"[ -1 -4 0 -4 0 ]",-9
12,"[ -1 -4 0 -4 1 ]",-8
13,"[ -1 -4 0 0 -1 ]",-6
14,"[ -1 -4 0 0 0 ]",-5
15,"[ -1 -4 0 0 1 ]",-4
16,"[ -1 -4 0 4 -1 ]",-2
17,"[ -1 -4 0 4 0 ]",-1
18,"[ -1 -4 0 4 1 ]",0
19,"[ -1 -4 6 -4 -1 ]",-4
20,"[ -1 -4 6 -4 0 ]",-3
21,"[ -1 -4 6 -4 1 ]",-2
22,"[ -1 -4 6 0 -1 ]",0
23,"[ -1 -4 6 0 0 ]",1
24,"[ -1 -4 6 0 1 ]",2
25,"[ -1 -4 6 4 -1 ]",4
26,"[ -1 -4 6 4 0 ]",5
27,"[ -1 -4 6 4 1 ]",6
28,"[ -1 0 -6 -4 -1 ]",-12
29,"[ -1 0 -6 -4 0 ]",-11
30,"[ -1 0 -6 -4 1 ]",-10
31,"[ -1 0 -6 0 -1 ]",-8
32,"[ -1 0 -6 0 0 ]",-7
33,"[ -1 0 -6 0 1 ]",-6
34,"[ -1 0 -6 4 -1 ]",-4
35,"[ -1 0 -6 4 0 ]",-3
36,"[ -1 0 -6 4 1 ]",-2
37,"[ -1 0 0 -4 -1 ]",-6
38,"[ -1 0 0 -4 0 ]",-5
39,"[ -1 0 0 -4 1 ]",-4
40,"[ -1 0 0 0 -1 ]",-2
41,"[ -1 0 0 0 0 ]",-1
42,"[ -1 0 0 0 1 ]",0
43,"[ -1 0 0 4 -1 ]",2
44,"[ -1 0 0 4 0 ]",3
45,"[ -1 0 0 4 1 ]",4
46,"[ -1 0 6 -4 -1 ]",0
47,"[ -1 0 6 -4 0 ]",1
48,"[ -1 0 6 -4 1 ]",2
49,"[ -1 0 6 0 -1 ]",4
50,"[ -1 0 6 0 0 ]",5
51,"[ -1 0 6 0 1 ]",6
52,"[ -1 0 6 4 -1 ]",8
53,"[ -1 0 6 4 0 ]",9
