Step,Sequence,Combination Value
1,"[ -1 -5 -10 -10 -5 -1 ]",-32
2,"[ -1 -5 -10 -10 -5 0 ]",-31
3,"[ -1 -5 -10 -10 -5 1 ]",-30
4,"[ -1 -5 -10 -10 0 -1 ]",-27
5,"[ -1 -5 -10 -10 0 0 ]",-26
6,"[ -1 -5 -10 -10 0 1 ]",-25
7,"[ -1 -5 -10 -10 5 -1 ]",-22
8,"[ -1 -5 -10 -10 5 0 ]",-21
9,"[ -1 -5 -10 -10 5 1 ]",-20
10,"[ -1 -5 -10 0 -5 -1 ]",-22
11,"[ -1 -5 -10 0 -5 0 ]",-21
12,"[ -1 -5 -10 0 -5 1 ]",-20
13,"[ -1 -5 -10 0 0 -1 ]",-17
14,"[ -1 -5 -10 0 0 0 ]",-16
15,"[ -1 -5 -10 0 0 1 ]",-15
16,"[ -1 -5 -10 0 5 -1 ]",-12
17,"[ -1 -5 -10 0 5 0 ]",-11
18,"[ -1 -5 -10 0 5 1 ]",-10
19,"[ -1 -5 -10 10 -5 -1 ]",-12
20,"[ -1 -5 -10 10 -5 0 ]",-11
21,"[ -1 -5 -10 10 -5 1 ]",-10
22,"[ -1 -5 -10 10 0 -1 ]",-7
23,"[ -1 -5 -10 10 0 0 ]",-6
24,"[ -1 -5 -10 10 0 1 ]",-5
25,"[ -1 -5 -10 10 5 -1 ]",-2
26,"[ -1 -5 -10 10 5 0 ]",-1
27,"[ -1 -5 -10 10 5 1 ]",0
28,"[ -1 -5 0 -10 -5 -1 ]",-22
29,"[ -1 -5 0 -10 -5 0 ]",-21
30,"[ -1 -5 0 -10 -5 1 ]",-20
31,"[ -1 -5 0 -10 0 -1 ]",-17
32,"[ -1 -5 0 -10 0 0 ]",-16
33,"[ -1 -5 0 -10 0 1 ]",-15
34,"[ -1 -5 0 -10 5 -1 ]",-12
35,"[ -1 -5 0 -10 5 0 ]",-11
36,"[ -1 -5 0 -10 5 1 ]",-10
37,"[ -1 -5 0 0 -5 -1 ]",-12
38,"[ -1 -5 0 0 -5 0 ]",-11
39,"[ -1 -5 0 0 -5 1 ]",-10
40,"[ -1 -5 0 0 0 -1 ]",-7
41,"[ -1 -5 0 0 0 0 ]",-6
42,"[ -1 -5 0 0 0 1 ]",-5
43,"[ -1 -5 0 0 5 -1 ]",-2
44,"[ -1 -5 0 0 5 0 ]",-1
45,"[ -1 -5 0 0 5 1 ]",0
46,"[ -1 -5 0 10 -5 -1 ]",-2
47,"[ -1 -5 0 10 -5 0 ]",-1
48,"[ -1 -5 0 10 -5 1 ]",0
49,"[ -1 -5 0 10 0 -1 ]",3
50,"[ -1 -5 0 10 0 0 ]",4
51,"[ -1 -5 0 10 0 1 ]",5
52,"[ -1 -5 0 10 5 -1 ]",8
53,"[ -1 -5 0 10 5 0 ]",9
54,"[ -1 -5 0 10 5 1 ]",10
55,"[ -1 -5 10 -10 -5 -1 ]",-12
56,"[ -1 -5 10 -10 -5 0 ]",-11
57,"[ -1 -5 10 -10 -5 1 ]",-10
58,"[ -1 -5 10 -10 0 -1 ]",-7
59,"[ -1 -5 10 -10 0 0 ]",-6
60,"[ -1 -5 10 -10 0 1 ]",-5
61,"[ -1 -5 10 -10 5 -1 ]",-2
62,"[ -1 -5 10 -10 5 0 ]",-1
63,"[ -1 -5 10 -10 5 1 ]",0
64,"[ -1 -5 10 0 -5 -1 ]",-2
65,"[ -1 -5 10 0 -5 0 ]",-1
66,"[ -1 -5 10 0 -5 1 ]",0
67,"[ -1 -5 10 0 0 -1 ]",3
68,"[ -1 -5 10 0 0 0 ]",4
69,"[ -1 -5 10 0 0 1 ]",5
70,"[ -1 -5 10 0 5 -1 ]",8
71,"[ -1 -5 10 0 5 0 ]",9
72,"[ -1 -5 10 0 5 1 ]",10
73,"[ -1 -5 10 10 -5 -1 ]",8
74,"[ -1 -5 10 10 -5 0 ]",9
75,"[ -1 -5 10 10 -5 1 ]",10
76,"[ -1 -5 10 10 0 -1 ]",13
77,"[ -1 -5 10 10 0 0 ]",14
78,"[ -1 -5 10 10 0 1 ]",15
79,"[ -1 -5 10 10 5 -1 ]",18
80,"[ -1 -5 10 10 5 0 ]",19
81,"[ -1 -5 10 10 5 1 ]",20
82,"[ -1 0 -10 -10 -5 -1 ]",-27
83,"[ -1 0 -10 -10 -5 0 ]",-26
84,"[ -1 0 -10 -10 -5 1 ]",-25
85,"[ -1 0 -10 -10 0 -1 ]",-22
86,"[ -1 0 -10 -10 0 0 ]",-21
87,"[ -1 0 -10 -10 0 1 ]",-20
88,"[ -1 0 -10 -10 5 -1 ]",-17
89,"[ -1 0 -10 -10 5 0 ]",-16
90,"[ -1 0 -10 -10 5 1 ]",-15
91,"[ -1 0 -10 0 -5 -1 ]",-17
92,"[ -1 0 -10 0 -5 0 ]",-16
93,"[ -1 0 -10 0 -5 1 ]",-15
94,"[ -1 0 -10 0 0 -1 ]",-12
95,"[ -1 0 -10 0 0 0 ]",-11
96,"[ -1 0 -10 0 0 1 ]",-10
97,"[ -1 0 -10 0 5 -1 ]",-7
98,"[ -1 0 -10 0 5 0 ]",-6
99,"[ -1 0 -10 0 5 1 ]",-5
100,"[ -1 0 -10 10 -5 -1 ]",-7
101,"[ -1 0 -10 10 -5 0 ]",-6
102,"[ -1 0 -10 10 -5 1 ]",-5
103,"[ -1 0 -10 10 0 -1 ]",-2
104,"[ -1 0 -10 10 0 0 ]",-1
105,"[ -1 0 -10 10 0 1 ]",0
106,"[ -1 0 -10 10 5 -1 ]",3
107,"[ -1 0 -10 10 5 0 ]",4
108,"[ -1 0 -10 10 5 1 ]",5
109,"[ -1 0 0 -10 -5 -1 ]",-17
110,"[ -1 0 0 -10 -5 0 ]",-16
111,"[ -1 0 0 -10 -5 1 ]",-15
112,"[ -1 0 0 -10 0 -1 ]",-12
113,"[ -1 0 0 -10 0 0 ]",-11
114,"[ -1 0 0 -10 0 1 ]",-10
115,"[ -1 0 0 -10 5 -1 ]",-7
116,"[ -1 0 0 -10 5 0 ]",-6
117,"[ -1 0 0 -10 5 1 ]",-5
118,"[ -1 0 0 0 -5 -1 ]",-7
119,"[ -1 0 0 0 -5 0 ]",-6
120,"[ -1 0 0 0 -5 1 ]",-5
121,"[ -1 0 0 0 0 -1 ]",-2
122,"[ -1 0 0 0 0 0 ]",-1
123,"[ -1 0 0 0 0 1 ]",0
124,"[ -1 0 0 0 5 -1 ]",3
125,"[ -1 0 0 0 5 0 ]",4
126,"[ -1 0 0 0 5 1 ]",5
127,"[ -1 0 0 10 -5 -1 ]",3
128,"[ -1 0 0 10 -5 0 ]",4
129,"[ -1 0 0 10 -5 1 ]",5
130,"[ -1 0 0 10 0 -1 ]",8
131,"[ -1 0 0 10 0 0 ]",9
132,"[ -1 0 0 10 0 1 ]",10
133,"[ -1 0 0 10 5 -1 ]",13
134,"[ -1 0 0 10 5 0 ]",14
