Step,Sequence,Sum,Choices
2285,"[ 1 -8 28 56 -70 56 -28 0 -1 ]",34,"+ - + + - + - 0 - "
2330,"[ 1 -8 28 56 -70 0 28 0 -1 ]",34,"+ - + + - 0 + 0 - "
2510,"[ 1 -8 28 -56 70 0 0 0 -1 ]",34,"+ - + - + 0 0 0 - "
2726,"[ 1 -8 28 0 70 -56 0 0 -1 ]",34,"+ - + 0 + - 0 0 - "
2762,"[ 1 -8 28 0 -70 56 28 0 -1 ]",34,"+ - + 0 - + + 0 - "
2969,"[ 1 -8 -28 56 70 -56 0 0 -1 ]",34,"+ - - + + - 0 0 - "
3005,"[ 1 -8 -28 56 -70 56 28 0 -1 ]",34,"+ - - + - + + 0 - "
3185,"[ 1 -8 -28 -56 70 56 0 0 -1 ]",34,"+ - - - + + 0 0 - "
3482,"[ 1 -8 -28 0 70 0 0 0 -1 ]",34,"+ - - 0 + 0 0 0 - "
3689,"[ 1 -8 0 56 70 -56 -28 0 -1 ]",34,"+ - 0 + + - - 0 - "
3752,"[ 1 -8 0 56 -70 56 0 0 -1 ]",34,"+ - 0 + - + 0 0 - "
3905,"[ 1 -8 0 -56 70 56 -28 0 -1 ]",34,"+ - 0 - + + - 0 - "
3950,"[ 1 -8 0 -56 70 0 28 0 -1 ]",34,"+ - 0 - + 0 + 0 - "
4166,"[ 1 -8 0 0 70 -56 28 0 -1 ]",34,"+ - 0 0 + - + 0 - "
4202,"[ 1 -8 0 0 70 0 -28 0 -1 ]",34,"+ - 0 0 + 0 - 0 - "
4469,"[ 1 0 28 56 -70 56 -28 -8 -1 ]",34,"+ 0 + + - + - - - "
4514,"[ 1 0 28 56 -70 0 28 -8 -1 ]",34,"+ 0 + + - 0 + - - "
4694,"[ 1 0 28 -56 70 0 0 -8 -1 ]",34,"+ 0 + - + 0 0 - - "
4910,"[ 1 0 28 0 70 -56 0 -8 -1 ]",34,"+ 0 + 0 + - 0 - - "
4946,"[ 1 0 28 0 -70 56 28 -8 -1 ]",34,"+ 0 + 0 - + + - - "
5153,"[ 1 0 -28 56 70 -56 0 -8 -1 ]",34,"+ 0 - + + - 0 - - "
5189,"[ 1 0 -28 56 -70 56 28 -8 -1 ]",34,"+ 0 - + - + + - - "
5369,"[ 1 0 -28 -56 70 56 0 -8 -1 ]",34,"+ 0 - - + + 0 - - "
5666,"[ 1 0 -28 0 70 0 0 -8 -1 ]",34,"+ 0 - 0 + 0 0 - - "
5873,"[ 1 0 0 56 70 -56 -28 -8 -1 ]",34,"+ 0 0 + + - - - - "
