Step,Sequence,Sum,Choices
333,"[ 1 10 45 120 210 -252 -210 120 45 0 0 ]",89,"+ + + + + - - + + 0 0 "
477,"[ 1 10 45 120 210 -252 0 0 -45 0 0 ]",89,"+ + + + + - 0 0 - 0 0 "
940,"[ 1 10 45 120 -210 252 0 -120 0 -10 1 ]",89,"+ + + + - + 0 - 0 - + "
981,"[ 1 10 45 120 -210 -252 210 120 45 0 0 ]",89,"+ + + + - - + + + 0 0 "
1588,"[ 1 10 45 120 0 252 -210 -120 0 -10 1 ]",89,"+ + + + 0 + - - 0 - + "
1773,"[ 1 10 45 120 0 -252 210 0 -45 0 0 ]",89,"+ + + + 0 - + 0 - 0 0 "
1872,"[ 1 10 45 120 0 -252 0 120 45 0 0 ]",89,"+ + + + 0 - 0 + + 0 0 "
3100,"[ 1 10 45 -120 -210 252 0 120 0 -10 1 ]",89,"+ + + - - + 0 + 0 - + "
3748,"[ 1 10 45 -120 0 252 -210 120 0 -10 1 ]",89,"+ + + - 0 + - + 0 - + "
4797,"[ 1 10 45 0 210 -252 0 120 -45 0 0 ]",89,"+ + + 0 + - 0 + - 0 0 "
5341,"[ 1 10 45 0 -210 252 0 0 0 -10 1 ]",89,"+ + + 0 - + 0 0 0 - + "
5989,"[ 1 10 45 0 0 252 -210 0 0 -10 1 ]",89,"+ + + 0 0 + - 0 0 - + "
6093,"[ 1 10 45 0 0 -252 210 120 -45 0 0 ]",89,"+ + + 0 0 - + + - 0 0 "
6849,"[ 1 10 -45 120 210 -252 210 -120 -45 0 0 ]",89,"+ + - + + - + - - 0 0 "
7029,"[ 1 10 -45 120 210 -252 0 0 45 0 0 ]",89,"+ + - + + - 0 0 + 0 0 "
8325,"[ 1 10 -45 120 0 -252 210 0 45 0 0 ]",89,"+ + - + 0 - + 0 + 0 0 "
8905,"[ 1 10 -45 -120 210 252 -210 0 0 -10 1 ]",89,"+ + - - + + - 0 0 - + "
9009,"[ 1 10 -45 -120 210 -252 210 120 -45 0 0 ]",89,"+ + - - + - + + - 0 0 "
9553,"[ 1 10 -45 -120 -210 252 210 0 0 -10 1 ]",89,"+ + - - - + + 0 0 - + "
10444,"[ 1 10 -45 -120 0 252 0 0 0 -10 1 ]",89,"+ + - - 0 + 0 0 0 - + "
11065,"[ 1 10 -45 0 210 252 -210 -120 0 -10 1 ]",89,"+ + - 0 + + - - 0 - + "
11250,"[ 1 10 -45 0 210 -252 210 0 -45 0 0 ]",89,"+ + - 0 + - + 0 - 0 0 "
11349,"[ 1 10 -45 0 210 -252 0 120 45 0 0 ]",89,"+ + - 0 + - 0 + + 0 0 "
11713,"[ 1 10 -45 0 -210 252 210 -120 0 -10 1 ]",89,"+ + - 0 - + + - 0 - + "
12604,"[ 1 10 -45 0 0 252 0 -120 0 -10 1 ]",89,"+ + - 0 0 + 0 - 0 - + "
12645,"[ 1 10 -45 0 0 -252 210 120 45 0 0 ]",89,"+ + - 0 0 - + + + 0 0 "
13608,"[ 1 10 0 120 210 -252 0 0 0 0 0 ]",89,"+ + 0 + + - 0 0 0 0 0 "
14044,"[ 1 10 0 120 -210 252 0 -120 45 -10 1 ]",89,"+ + 0 + - + 0 - + - + "
14692,"[ 1 10 0 120 0 252 -210 -120 45 -10 1 ]",89,"+ + 0 + 0 + - - + - + "
14904,"[ 1 10 0 120 0 -252 210 0 0 0 0 ]",89,"+ + 0 + 0 - + 0 0 0 0 "
15457,"[ 1 10 0 -120 210 252 -210 0 -45 -10 1 ]",89,"+ + 0 - + + - 0 - - + "
16105,"[ 1 10 0 -120 -210 252 210 0 -45 -10 1 ]",89,"+ + 0 - - + + 0 - - + "
16204,"[ 1 10 0 -120 -210 252 0 120 45 -10 1 ]",89,"+ + 0 - - + 0 + + - + "
16852,"[ 1 10 0 -120 0 252 -210 120 45 -10 1 ]",89,"+ + 0 - 0 + - + + - + "
16996,"[ 1 10 0 -120 0 252 0 0 -45 -10 1 ]",89,"+ + 0 - 0 + 0 0 - - + "
17617,"[ 1 10 0 0 210 252 -210 -120 -45 -10 1 ]",89,"+ + 0 0 + + - - - - + "
17928,"[ 1 10 0 0 210 -252 0 120 0 0 0 ]",89,"+ + 0 0 + - 0 + 0 0 0 "
18265,"[ 1 10 0 0 -210 252 210 -120 -45 -10 1 ]",89,"+ + 0 0 - + + - - - + "
18445,"[ 1 10 0 0 -210 252 0 0 45 -10 1 ]",89,"+ + 0 0 - + 0 0 + - + "
19093,"[ 1 10 0 0 0 252 -210 0 45 -10 1 ]",89,"+ + 0 0 0 + - 0 + - + "
19156,"[ 1 10 0 0 0 252 0 -120 -45 -10 1 ]",89,"+ + 0 0 0 + 0 - - - + "
19224,"[ 1 10 0 0 0 -252 210 120 0 0 0 ]",89,"+ + 0 0 0 - + + 0 0 0 "
20620,"[ 1 -10 45 120 -210 252 0 -120 0 10 1 ]",89,"+ - + + - + 0 - 0 + + "
21268,"[ 1 -10 45 120 0 252 -210 -120 0 10 1 ]",89,"+ - + + 0 + - - 0 + + "
22780,"[ 1 -10 45 -120 -210 252 0 120 0 10 1 ]",89,"+ - + - - + 0 + 0 + + "
23428,"[ 1 -10 45 -120 0 252 -210 120 0 10 1 ]",89,"+ - + - 0 + - + 0 + + "
25021,"[ 1 -10 45 0 -210 252 0 0 0 10 1 ]",89,"+ - + 0 - + 0 0 0 + + "
25669,"[ 1 -10 45 0 0 252 -210 0 0 10 1 ]",89,"+ - + 0 0 + - 0 0 + + "
26664,"[ 1 -10 -45 120 210 -252 0 120 -45 -10 0 ]",89,"+ - - + + - 0 + - - 0 "
27960,"[ 1 -10 -45 120 0 -252 210 120 -45 -10 0 ]",89,"+ - - + 0 - + + - - 0 "
28585,"[ 1 -10 -45 -120 210 252 -210 0 0 10 1 ]",89,"+ - - - + + - 0 0 + + "
29233,"[ 1 -10 -45 -120 -210 252 210 0 0 10 1 ]",89,"+ - - - - + + 0 0 + + "
30124,"[ 1 -10 -45 -120 0 252 0 0 0 10 1 ]",89,"+ - - - 0 + 0 0 0 + + "
30745,"[ 1 -10 -45 0 210 252 -210 -120 0 10 1 ]",89,"+ - - 0 + + - - 0 + + "
31393,"[ 1 -10 -45 0 -210 252 210 -120 0 10 1 ]",89,"+ - - 0 - + + - 0 + + "
32284,"[ 1 -10 -45 0 0 252 0 -120 0 10 1 ]",89,"+ - - 0 0 + 0 - 0 + + "
