Step,Sequence,Sum,Choices
2376,"[ 1 0 28 56 -70 56 -28 -8 -1 ]",34,"+ 0 + + - + - - - "
2385,"[ 1 0 28 56 -70 0 28 -8 -1 ]",34,"+ 0 + + - 0 + - - "
2502,"[ 1 0 28 0 70 -56 0 -8 -1 ]",34,"+ 0 + 0 + - 0 - - "
2601,"[ 1 0 28 0 -70 56 28 -8 -1 ]",34,"+ 0 + 0 - + + - - "
2718,"[ 1 0 28 -56 70 0 0 -8 -1 ]",34,"+ 0 + - + 0 0 - - "
2997,"[ 1 0 0 56 70 -56 -28 -8 -1 ]",34,"+ 0 0 + + - - - - "
3096,"[ 1 0 0 56 -70 56 0 -8 -1 ]",34,"+ 0 0 + - + 0 - - "
3213,"[ 1 0 0 0 70 0 -28 -8 -1 ]",34,"+ 0 0 0 + 0 - - - "
3222,"[ 1 0 0 0 70 -56 28 -8 -1 ]",34,"+ 0 0 0 + - + - - "
3429,"[ 1 0 0 -56 70 56 -28 -8 -1 ]",34,"+ 0 0 - + + - - - "
3438,"[ 1 0 0 -56 70 0 28 -8 -1 ]",34,"+ 0 0 - + 0 + - - "
3717,"[ 1 0 -28 56 70 -56 0 -8 -1 ]",34,"+ 0 - + + - 0 - - "
3816,"[ 1 0 -28 56 -70 56 28 -8 -1 ]",34,"+ 0 - + - + + - - "
3933,"[ 1 0 -28 0 70 0 0 -8 -1 ]",34,"+ 0 - 0 + 0 0 - - "
4149,"[ 1 0 -28 -56 70 56 0 -8 -1 ]",34,"+ 0 - - + + 0 - - "
4560,"[ 1 -8 28 56 -70 56 -28 0 -1 ]",34,"+ - + + - + - 0 - "
4569,"[ 1 -8 28 56 -70 0 28 0 -1 ]",34,"+ - + + - 0 + 0 - "
4686,"[ 1 -8 28 0 70 -56 0 0 -1 ]",34,"+ - + 0 + - 0 0 - "
4785,"[ 1 -8 28 0 -70 56 28 0 -1 ]",34,"+ - + 0 - + + 0 - "
4902,"[ 1 -8 28 -56 70 0 0 0 -1 ]",34,"+ - + - + 0 0 0 - "
5181,"[ 1 -8 0 56 70 -56 -28 0 -1 ]",34,"+ - 0 + + - - 0 - "
5280,"[ 1 -8 0 56 -70 56 0 0 -1 ]",34,"+ - 0 + - + 0 0 - "
5397,"[ 1 -8 0 0 70 0 -28 0 -1 ]",34,"+ - 0 0 + 0 - 0 - "
5406,"[ 1 -8 0 0 70 -56 28 0 -1 ]",34,"+ - 0 0 + - + 0 - "
5613,"[ 1 -8 0 -56 70 56 -28 0 -1 ]",34,"+ - 0 - + + - 0 - "
5622,"[ 1 -8 0 -56 70 0 28 0 -1 ]",34,"+ - 0 - + 0 + 0 - "
5901,"[ 1 -8 -28 56 70 -56 0 0 -1 ]",34,"+ - - + + - 0 0 - "
6000,"[ 1 -8 -28 56 -70 56 28 0 -1 ]",34,"+ - - + - + + 0 - "
6117,"[ 1 -8 -28 0 70 0 0 0 -1 ]",34,"+ - - 0 + 0 0 0 - "
6333,"[ 1 -8 -28 -56 70 56 0 0 -1 ]",34,"+ - - - + + 0 0 - "
8936,"[ 0 0 28 56 -70 56 -28 -8 0 ]",34,"0 0 + + - + - - 0 "
8945,"[ 0 0 28 56 -70 0 28 -8 0 ]",34,"0 0 + + - 0 + - 0 "
9062,"[ 0 0 28 0 70 -56 0 -8 0 ]",34,"0 0 + 0 + - 0 - 0 "
9161,"[ 0 0 28 0 -70 56 28 -8 0 ]",34,"0 0 + 0 - + + - 0 "
9278,"[ 0 0 28 -56 70 0 0 -8 0 ]",34,"0 0 + - + 0 0 - 0 "
9557,"[ 0 0 0 56 70 -56 -28 -8 0 ]",34,"0 0 0 + + - - - 0 "
9656,"[ 0 0 0 56 -70 56 0 -8 0 ]",34,"0 0 0 + - + 0 - 0 "
9773,"[ 0 0 0 0 70 0 -28 -8 0 ]",34,"0 0 0 0 + 0 - - 0 "
9782,"[ 0 0 0 0 70 -56 28 -8 0 ]",34,"0 0 0 0 + - + - 0 "
9989,"[ 0 0 0 -56 70 56 -28 -8 0 ]",34,"0 0 0 - + + - - 0 "
9998,"[ 0 0 0 -56 70 0 28 -8 0 ]",34,"0 0 0 - + 0 + - 0 "
10277,"[ 0 0 -28 56 70 -56 0 -8 0 ]",34,"0 0 - + + - 0 - 0 "
10376,"[ 0 0 -28 56 -70 56 28 -8 0 ]",34,"0 0 - + - + + - 0 "
10493,"[ 0 0 -28 0 70 0 0 -8 0 ]",34,"0 0 - 0 + 0 0 - 0 "
10709,"[ 0 0 -28 -56 70 56 0 -8 0 ]",34,"0 0 - - + + 0 - 0 "
11120,"[ 0 -8 28 56 -70 56 -28 0 0 ]",34,"0 - + + - + - 0 0 "
11129,"[ 0 -8 28 56 -70 0 28 0 0 ]",34,"0 - + + - 0 + 0 0 "
11246,"[ 0 -8 28 0 70 -56 0 0 0 ]",34,"0 - + 0 + - 0 0 0 "
11345,"[ 0 -8 28 0 -70 56 28 0 0 ]",34,"0 - + 0 - + + 0 0 "
11462,"[ 0 -8 28 -56 70 0 0 0 0 ]",34,"0 - + - + 0 0 0 0 "
11741,"[ 0 -8 0 56 70 -56 -28 0 0 ]",34,"0 - 0 + + - - 0 0 "
11840,"[ 0 -8 0 56 -70 56 0 0 0 ]",34,"0 - 0 + - + 0 0 0 "
11957,"[ 0 -8 0 0 70 0 -28 0 0 ]",34,"0 - 0 0 + 0 - 0 0 "
11966,"[ 0 -8 0 0 70 -56 28 0 0 ]",34,"0 - 0 0 + - + 0 0 "
12173,"[ 0 -8 0 -56 70 56 -28 0 0 ]",34,"0 - 0 - + + - 0 0 "
12182,"[ 0 -8 0 -56 70 0 28 0 0 ]",34,"0 - 0 - + 0 + 0 0 "
12461,"[ 0 -8 -28 56 70 -56 0 0 0 ]",34,"0 - - + + - 0 0 0 "
12560,"[ 0 -8 -28 56 -70 56 28 0 0 ]",34,"0 - - + - + + 0 0 "
12677,"[ 0 -8 -28 0 70 0 0 0 0 ]",34,"0 - - 0 + 0 0 0 0 "
12893,"[ 0 -8 -28 -56 70 56 0 0 0 ]",34,"0 - - - + + 0 0 0 "
13272,"[ -1 8 28 56 0 -56 0 0 -1 ]",34,"- + + + 0 - 0 0 - "
13488,"[ -1 8 28 0 0 0 0 0 -1 ]",34,"- + + 0 0 0 0 0 - "
13704,"[ -1 8 28 -56 0 56 0 0 -1 ]",34,"- + + - 0 + 0 0 - "
13983,"[ -1 8 0 56 0 0 -28 0 -1 ]",34,"- + 0 + 0 0 - 0 - "
13992,"[ -1 8 0 56 0 -56 28 0 -1 ]",34,"- + 0 + 0 - + 0 - "
14199,"[ -1 8 0 0 0 56 -28 0 -1 ]",34,"- + 0 0 0 + - 0 - "
14208,"[ -1 8 0 0 0 0 28 0 -1 ]",34,"- + 0 0 0 0 + 0 - "
14424,"[ -1 8 0 -56 0 56 28 0 -1 ]",34,"- + 0 - 0 + + 0 - "
14703,"[ -1 8 -28 56 0 0 0 0 -1 ]",34,"- + - + 0 0 0 0 - "
