Step,Sequence,Sum,Choices
227,"[ 1 9 36 84 126 -126 -84 0 9 0 ]",55,"+ + + + + - - 0 + 0 "
389,"[ 1 9 36 84 0 0 -84 0 9 0 ]",55,"+ + + + 0 0 - 0 + 0 "
551,"[ 1 9 36 84 -126 126 -84 0 9 0 ]",55,"+ + + + - + - 0 + 0 "
929,"[ 1 9 36 0 126 -126 0 0 9 0 ]",55,"+ + + 0 + - 0 0 + 0 "
1091,"[ 1 9 36 0 0 0 0 0 9 0 ]",55,"+ + + 0 0 0 0 0 + 0 "
1253,"[ 1 9 36 0 -126 126 0 0 9 0 ]",55,"+ + + 0 - + 0 0 + 0 "
1631,"[ 1 9 36 -84 126 -126 84 0 9 0 ]",55,"+ + + - + - + 0 + 0 "
1793,"[ 1 9 36 -84 0 0 84 0 9 0 ]",55,"+ + + - 0 0 + 0 + 0 "
1955,"[ 1 9 36 -84 -126 126 84 0 9 0 ]",55,"+ + + - - + + 0 + 0 "
2405,"[ 1 9 0 84 126 -126 -84 36 9 0 ]",55,"+ + 0 + + - - + + 0 "
2567,"[ 1 9 0 84 0 0 -84 36 9 0 ]",55,"+ + 0 + 0 0 - + + 0 "
2729,"[ 1 9 0 84 -126 126 -84 36 9 0 ]",55,"+ + 0 + - + - + + 0 "
3107,"[ 1 9 0 0 126 -126 0 36 9 0 ]",55,"+ + 0 0 + - 0 + + 0 "
3269,"[ 1 9 0 0 0 0 0 36 9 0 ]",55,"+ + 0 0 0 0 0 + + 0 "
3431,"[ 1 9 0 0 -126 126 0 36 9 0 ]",55,"+ + 0 0 - + 0 + + 0 "
3809,"[ 1 9 0 -84 126 -126 84 36 9 0 ]",55,"+ + 0 - + - + + + 0 "
3971,"[ 1 9 0 -84 0 0 84 36 9 0 ]",55,"+ + 0 - 0 0 + + + 0 "
4133,"[ 1 9 0 -84 -126 126 84 36 9 0 ]",55,"+ + 0 - - + + + + 0 "
4535,"[ 1 9 -36 84 126 0 -84 -36 -9 0 ]",55,"+ + - + + 0 - - - 0 "
4697,"[ 1 9 -36 84 0 126 -84 -36 -9 0 ]",55,"+ + - + 0 + - - - 0 "
5237,"[ 1 9 -36 0 126 0 0 -36 -9 0 ]",55,"+ + - 0 + 0 0 - - 0 "
5399,"[ 1 9 -36 0 0 126 0 -36 -9 0 ]",55,"+ + - 0 0 + 0 - - 0 "
5939,"[ 1 9 -36 -84 126 0 84 -36 -9 0 ]",55,"+ + - - + 0 + - - 0 "
6101,"[ 1 9 -36 -84 0 126 84 -36 -9 0 ]",55,"+ + - - 0 + + - - 0 "
11093,"[ 1 0 -36 84 126 0 -84 -36 0 0 ]",55,"+ 0 - + + 0 - - 0 0 "
11255,"[ 1 0 -36 84 0 126 -84 -36 0 0 ]",55,"+ 0 - + 0 + - - 0 0 "
11795,"[ 1 0 -36 0 126 0 0 -36 0 0 ]",55,"+ 0 - 0 + 0 0 - 0 0 "
11957,"[ 1 0 -36 0 0 126 0 -36 0 0 ]",55,"+ 0 - 0 0 + 0 - 0 0 "
12497,"[ 1 0 -36 -84 126 0 84 -36 0 0 ]",55,"+ 0 - - + 0 + - 0 0 "
12659,"[ 1 0 -36 -84 0 126 84 -36 0 0 ]",55,"+ 0 - - 0 + + - 0 0 "
13346,"[ 1 -9 36 84 126 -126 -84 36 -9 0 ]",55,"+ - + + + - - + - 0 "
13508,"[ 1 -9 36 84 0 0 -84 36 -9 0 ]",55,"+ - + + 0 0 - + - 0 "
13670,"[ 1 -9 36 84 -126 126 -84 36 -9 0 ]",55,"+ - + + - + - + - 0 "
14048,"[ 1 -9 36 0 126 -126 0 36 -9 0 ]",55,"+ - + 0 + - 0 + - 0 "
14210,"[ 1 -9 36 0 0 0 0 36 -9 0 ]",55,"+ - + 0 0 0 0 + - 0 "
14372,"[ 1 -9 36 0 -126 126 0 36 -9 0 ]",55,"+ - + 0 - + 0 + - 0 "
14750,"[ 1 -9 36 -84 126 -126 84 36 -9 0 ]",55,"+ - + - + - + + - 0 "
14912,"[ 1 -9 36 -84 0 0 84 36 -9 0 ]",55,"+ - + - 0 0 + + - 0 "
15074,"[ 1 -9 36 -84 -126 126 84 36 -9 0 ]",55,"+ - + - - + + + - 0 "
17651,"[ 1 -9 -36 84 126 0 -84 -36 9 0 ]",55,"+ - - + + 0 - - + 0 "
17813,"[ 1 -9 -36 84 0 126 -84 -36 9 0 ]",55,"+ - - + 0 + - - + 0 "
18353,"[ 1 -9 -36 0 126 0 0 -36 9 0 ]",55,"+ - - 0 + 0 0 - + 0 "
18515,"[ 1 -9 -36 0 0 126 0 -36 9 0 ]",55,"+ - - 0 0 + 0 - + 0 "
19055,"[ 1 -9 -36 -84 126 0 84 -36 9 0 ]",55,"+ - - - + 0 + - + 0 "
19217,"[ 1 -9 -36 -84 0 126 84 -36 9 0 ]",55,"+ - - - 0 + + - + 0 "
19909,"[ 0 9 36 84 126 -126 -84 0 9 1 ]",55,"0 + + + + - - 0 + + "
20071,"[ 0 9 36 84 0 0 -84 0 9 1 ]",55,"0 + + + 0 0 - 0 + + "
20233,"[ 0 9 36 84 -126 126 -84 0 9 1 ]",55,"0 + + + - + - 0 + + "
20611,"[ 0 9 36 0 126 -126 0 0 9 1 ]",55,"0 + + 0 + - 0 0 + + "
20773,"[ 0 9 36 0 0 0 0 0 9 1 ]",55,"0 + + 0 0 0 0 0 + + "
20935,"[ 0 9 36 0 -126 126 0 0 9 1 ]",55,"0 + + 0 - + 0 0 + + "
21313,"[ 0 9 36 -84 126 -126 84 0 9 1 ]",55,"0 + + - + - + 0 + + "
