Step,Sequence,Sum,Choices
45,"[ -1 -6 -15 20 15 0 0 ]",13,"- - - + + 0 0 "
117,"[ -1 -6 15 20 -15 0 0 ]",13,"- - + + - 0 0 "
157,"[ -1 -6 15 0 0 6 -1 ]",13,"- - + 0 0 + - "
216,"[ -1 -6 0 20 0 0 0 ]",13,"- - 0 + 0 0 0 "
229,"[ -1 -6 0 0 15 6 -1 ]",13,"- - 0 0 + + - "
397,"[ -1 6 15 0 0 -6 -1 ]",13,"- + + 0 0 - - "
469,"[ -1 6 0 0 15 -6 -1 ]",13,"- + 0 0 + - - "
525,"[ -1 0 -15 20 15 -6 0 ]",13,"- 0 - + + - 0 "
597,"[ -1 0 15 20 -15 -6 0 ]",13,"- 0 + + - - 0 "
646,"[ -1 0 15 0 0 0 -1 ]",13,"- 0 + 0 0 0 - "
696,"[ -1 0 0 20 0 -6 0 ]",13,"- 0 0 + 0 - 0 "
718,"[ -1 0 0 0 15 0 -1 ]",13,"- 0 0 0 + 0 - "
1025,"[ 1 6 -15 20 0 0 1 ]",13,"+ + - + 0 0 + "
1041,"[ 1 6 -15 0 15 6 0 ]",13,"+ + - 0 + + 0 "
1113,"[ 1 6 15 0 -15 6 0 ]",13,"+ + + 0 - + 0 "
1169,"[ 1 6 0 20 -15 0 1 ]",13,"+ + 0 + - 0 + "
1212,"[ 1 6 0 0 0 6 0 ]",13,"+ + 0 0 0 + 0 "
1265,"[ 1 0 -15 20 0 6 1 ]",13,"+ 0 - + 0 + + "
1409,"[ 1 0 0 20 -15 6 1 ]",13,"+ 0 0 + - + + "
1501,"[ 0 -6 -15 20 15 0 -1 ]",13,"0 - - + + 0 - "
1573,"[ 0 -6 15 20 -15 0 -1 ]",13,"0 - + + - 0 - "
1672,"[ 0 -6 0 20 0 0 -1 ]",13,"0 - 0 + 0 0 - "
1769,"[ 0 6 -15 0 15 6 1 ]",13,"0 + - 0 + + + "
1841,"[ 0 6 15 0 -15 6 1 ]",13,"0 + + 0 - + + "
1940,"[ 0 6 0 0 0 6 1 ]",13,"0 + 0 0 0 + + "
1981,"[ 0 0 -15 20 15 -6 -1 ]",13,"0 0 - + + - - "
2053,"[ 0 0 15 20 -15 -6 -1 ]",13,"0 0 + + - - - "
2152,"[ 0 0 0 20 0 -6 -1 ]",13,"0 0 0 + 0 - - "
