Step,Sequence,Sum,Choices
6910,"[ -1 9 -36 -84 126 126 -84 0 0 -1 ]",55,"- + - - + + - 0 0 - "
7450,"[ -1 9 -36 84 -126 126 0 0 0 -1 ]",55,"- + - + - + 0 0 0 - "
7612,"[ -1 9 -36 84 126 -126 0 0 0 -1 ]",55,"- + - + + - 0 0 0 - "
8017,"[ -1 9 -36 84 0 0 0 0 0 -1 ]",55,"- + - + 0 0 0 0 0 - "
8152,"[ -1 9 -36 0 -126 126 84 0 0 -1 ]",55,"- + - 0 - + + 0 0 - "
8314,"[ -1 9 -36 0 126 -126 84 0 0 -1 ]",55,"- + - 0 + - + 0 0 - "
8719,"[ -1 9 -36 0 0 0 84 0 0 -1 ]",55,"- + - 0 0 0 + 0 0 - "
11266,"[ -1 9 0 -84 126 126 -84 -36 0 -1 ]",55,"- + 0 - + + - - 0 - "
11806,"[ -1 9 0 84 -126 126 0 -36 0 -1 ]",55,"- + 0 + - + 0 - 0 - "
11968,"[ -1 9 0 84 126 -126 0 -36 0 -1 ]",55,"- + 0 + + - 0 - 0 - "
12373,"[ -1 9 0 84 0 0 0 -36 0 -1 ]",55,"- + 0 + 0 0 0 - 0 - "
12508,"[ -1 9 0 0 -126 126 84 -36 0 -1 ]",55,"- + 0 0 - + + - 0 - "
12670,"[ -1 9 0 0 126 -126 84 -36 0 -1 ]",55,"- + 0 0 + - + - 0 - "
13075,"[ -1 9 0 0 0 0 84 -36 0 -1 ]",55,"- + 0 0 0 0 + - 0 - "
13468,"[ -1 0 -36 -84 126 126 -84 0 9 -1 ]",55,"- 0 - - + + - 0 + - "
14008,"[ -1 0 -36 84 -126 126 0 0 9 -1 ]",55,"- 0 - + - + 0 0 + - "
14170,"[ -1 0 -36 84 126 -126 0 0 9 -1 ]",55,"- 0 - + + - 0 0 + - "
14575,"[ -1 0 -36 84 0 0 0 0 9 -1 ]",55,"- 0 - + 0 0 0 0 + - "
14710,"[ -1 0 -36 0 -126 126 84 0 9 -1 ]",55,"- 0 - 0 - + + 0 + - "
14872,"[ -1 0 -36 0 126 -126 84 0 9 -1 ]",55,"- 0 - 0 + - + 0 + - "
15277,"[ -1 0 -36 0 0 0 84 0 9 -1 ]",55,"- 0 - 0 0 0 + 0 + - "
17824,"[ -1 0 0 -84 126 126 -84 -36 9 -1 ]",55,"- 0 0 - + + - - + - "
18364,"[ -1 0 0 84 -126 126 0 -36 9 -1 ]",55,"- 0 0 + - + 0 - + - "
18526,"[ -1 0 0 84 126 -126 0 -36 9 -1 ]",55,"- 0 0 + + - 0 - + - "
18931,"[ -1 0 0 84 0 0 0 -36 9 -1 ]",55,"- 0 0 + 0 0 0 - + - "
19066,"[ -1 0 0 0 -126 126 84 -36 9 -1 ]",55,"- 0 0 0 - + + - + - "
19228,"[ -1 0 0 0 126 -126 84 -36 9 -1 ]",55,"- 0 0 0 + - + - + - "
19633,"[ -1 0 0 0 0 0 84 -36 9 -1 ]",55,"- 0 0 0 0 0 + - + - "
20121,"[ 1 -9 -36 -84 126 0 84 -36 9 0 ]",55,"+ - - - + 0 + - + 0 "
20283,"[ 1 -9 -36 -84 0 126 84 -36 9 0 ]",55,"+ - - - 0 + + - + 0 "
20823,"[ 1 -9 -36 84 126 0 -84 -36 9 0 ]",55,"+ - - + + 0 - - + 0 "
20985,"[ 1 -9 -36 84 0 126 -84 -36 9 0 ]",55,"+ - - + 0 + - - + 0 "
21606,"[ 1 -9 -36 0 126 0 0 -36 9 0 ]",55,"+ - - 0 + 0 0 - + 0 "
21768,"[ 1 -9 -36 0 0 126 0 -36 9 0 ]",55,"+ - - 0 0 + 0 - + 0 "
21990,"[ 1 -9 36 -84 -126 126 84 36 -9 0 ]",55,"+ - + - - + + + - 0 "
22152,"[ 1 -9 36 -84 126 -126 84 36 -9 0 ]",55,"+ - + - + - + + - 0 "
22557,"[ 1 -9 36 -84 0 0 84 36 -9 0 ]",55,"+ - + - 0 0 + + - 0 "
22692,"[ 1 -9 36 84 -126 126 -84 36 -9 0 ]",55,"+ - + + - + - + - 0 "
22854,"[ 1 -9 36 84 126 -126 -84 36 -9 0 ]",55,"+ - + + + - - + - 0 "
23259,"[ 1 -9 36 84 0 0 -84 36 -9 0 ]",55,"+ - + + 0 0 - + - 0 "
23475,"[ 1 -9 36 0 -126 126 0 36 -9 0 ]",55,"+ - + 0 - + 0 + - 0 "
23637,"[ 1 -9 36 0 126 -126 0 36 -9 0 ]",55,"+ - + 0 + - 0 + - 0 "
24042,"[ 1 -9 36 0 0 0 0 36 -9 0 ]",55,"+ - + 0 0 0 0 + - 0 "
26679,"[ 1 9 -36 -84 126 0 84 -36 -9 0 ]",55,"+ + - - + 0 + - - 0 "
26841,"[ 1 9 -36 -84 0 126 84 -36 -9 0 ]",55,"+ + - - 0 + + - - 0 "
27381,"[ 1 9 -36 84 126 0 -84 -36 -9 0 ]",55,"+ + - + + 0 - - - 0 "
27543,"[ 1 9 -36 84 0 126 -84 -36 -9 0 ]",55,"+ + - + 0 + - - - 0 "
