Step,Sequence,Sum,Choices
77,"[ -1 -6 -15 20 15 0 0 ]",13,"- - - + + 0 0 "
133,"[ -1 -6 0 0 15 6 -1 ]",13,"- - 0 0 + + - "
149,"[ -1 -6 0 20 0 0 0 ]",13,"- - 0 + 0 0 0 "
205,"[ -1 -6 15 0 0 6 -1 ]",13,"- - + 0 0 + - "
221,"[ -1 -6 15 20 -15 0 0 ]",13,"- - + + - 0 0 "
317,"[ -1 0 -15 20 15 -6 0 ]",13,"- 0 - + + - 0 "
373,"[ -1 0 0 0 15 0 -1 ]",13,"- 0 0 0 + 0 - "
389,"[ -1 0 0 20 0 -6 0 ]",13,"- 0 0 + 0 - 0 "
445,"[ -1 0 15 0 0 0 -1 ]",13,"- 0 + 0 0 0 - "
461,"[ -1 0 15 20 -15 -6 0 ]",13,"- 0 + + - - 0 "
613,"[ -1 6 0 0 15 -6 -1 ]",13,"- + 0 0 + - - "
685,"[ -1 6 15 0 0 -6 -1 ]",13,"- + + 0 0 - - "
805,"[ 0 -6 -15 20 15 0 -1 ]",13,"0 - - + + 0 - "
877,"[ 0 -6 0 20 0 0 -1 ]",13,"0 - 0 + 0 0 - "
949,"[ 0 -6 15 20 -15 0 -1 ]",13,"0 - + + - 0 - "
1045,"[ 0 0 -15 20 15 -6 -1 ]",13,"0 0 - + + - - "
1117,"[ 0 0 0 20 0 -6 -1 ]",13,"0 0 0 + 0 - - "
1189,"[ 0 0 15 20 -15 -6 -1 ]",13,"0 0 + + - - - "
1269,"[ 0 6 -15 0 15 6 1 ]",13,"0 + - 0 + + + "
1341,"[ 0 6 0 0 0 6 1 ]",13,"0 + 0 0 0 + + "
1413,"[ 0 6 15 0 -15 6 1 ]",13,"0 + + 0 - + + "
1773,"[ 1 0 -15 20 0 6 1 ]",13,"+ 0 - + 0 + + "
1845,"[ 1 0 0 20 -15 6 1 ]",13,"+ 0 0 + - + + "
1997,"[ 1 6 -15 0 15 6 0 ]",13,"+ + - 0 + + 0 "
2013,"[ 1 6 -15 20 0 0 1 ]",13,"+ + - + 0 0 + "
2069,"[ 1 6 0 0 0 6 0 ]",13,"+ + 0 0 0 + 0 "
2085,"[ 1 6 0 20 -15 0 1 ]",13,"+ + 0 + - 0 + "
2141,"[ 1 6 15 0 -15 6 0 ]",13,"+ + + 0 - + 0 "
