Step,Sequence,Sum,Choices
106,"[ 0 0 0 0 70 0 -28 -8 0 ]",34,"0 0 0 0 + 0 - - 0 "
151,"[ 0 0 0 0 70 -56 28 -8 0 ]",34,"0 0 0 0 + - + - 0 "
403,"[ 0 0 0 56 70 -56 -28 -8 0 ]",34,"0 0 0 + + - - - 0 "
439,"[ 0 0 0 56 -70 56 0 -8 0 ]",34,"0 0 0 + - + 0 - 0 "
583,"[ 0 0 0 -56 70 0 28 -8 0 ]",34,"0 0 0 - + 0 + - 0 "
619,"[ 0 0 0 -56 70 56 -28 -8 0 ]",34,"0 0 0 - + + - - 0 "
871,"[ 0 0 28 0 70 -56 0 -8 0 ]",34,"0 0 + 0 + - 0 - 0 "
934,"[ 0 0 28 0 -70 56 28 -8 0 ]",34,"0 0 + 0 - + + - 0 "
1150,"[ 0 0 28 56 -70 0 28 -8 0 ]",34,"0 0 + + - 0 + - 0 "
1186,"[ 0 0 28 56 -70 56 -28 -8 0 ]",34,"0 0 + + - + - - 0 "
1303,"[ 0 0 28 -56 70 0 0 -8 0 ]",34,"0 0 + - + 0 0 - 0 "
1546,"[ 0 0 -28 0 70 0 0 -8 0 ]",34,"0 0 - 0 + 0 0 - 0 "
1843,"[ 0 0 -28 56 70 -56 0 -8 0 ]",34,"0 0 - + + - 0 - 0 "
1906,"[ 0 0 -28 56 -70 56 28 -8 0 ]",34,"0 0 - + - + + - 0 "
2059,"[ 0 0 -28 -56 70 56 0 -8 0 ]",34,"0 0 - - + + 0 - 0 "
4474,"[ 0 -8 0 0 70 0 -28 0 0 ]",34,"0 - 0 0 + 0 - 0 0 "
4519,"[ 0 -8 0 0 70 -56 28 0 0 ]",34,"0 - 0 0 + - + 0 0 "
4771,"[ 0 -8 0 56 70 -56 -28 0 0 ]",34,"0 - 0 + + - - 0 0 "
4807,"[ 0 -8 0 56 -70 56 0 0 0 ]",34,"0 - 0 + - + 0 0 0 "
4951,"[ 0 -8 0 -56 70 0 28 0 0 ]",34,"0 - 0 - + 0 + 0 0 "
4987,"[ 0 -8 0 -56 70 56 -28 0 0 ]",34,"0 - 0 - + + - 0 0 "
5239,"[ 0 -8 28 0 70 -56 0 0 0 ]",34,"0 - + 0 + - 0 0 0 "
5302,"[ 0 -8 28 0 -70 56 28 0 0 ]",34,"0 - + 0 - + + 0 0 "
5518,"[ 0 -8 28 56 -70 0 28 0 0 ]",34,"0 - + + - 0 + 0 0 "
5554,"[ 0 -8 28 56 -70 56 -28 0 0 ]",34,"0 - + + - + - 0 0 "
5671,"[ 0 -8 28 -56 70 0 0 0 0 ]",34,"0 - + - + 0 0 0 0 "
5914,"[ 0 -8 -28 0 70 0 0 0 0 ]",34,"0 - - 0 + 0 0 0 0 "
6211,"[ 0 -8 -28 56 70 -56 0 0 0 ]",34,"0 - - + + - 0 0 0 "
6274,"[ 0 -8 -28 56 -70 56 28 0 0 ]",34,"0 - - + - + + 0 0 "
6427,"[ 0 -8 -28 -56 70 56 0 0 0 ]",34,"0 - - - + + 0 0 0 "
6669,"[ 1 0 0 0 70 0 -28 -8 -1 ]",34,"+ 0 0 0 + 0 - - - "
6714,"[ 1 0 0 0 70 -56 28 -8 -1 ]",34,"+ 0 0 0 + - + - - "
6966,"[ 1 0 0 56 70 -56 -28 -8 -1 ]",34,"+ 0 0 + + - - - - "
7002,"[ 1 0 0 56 -70 56 0 -8 -1 ]",34,"+ 0 0 + - + 0 - - "
7146,"[ 1 0 0 -56 70 0 28 -8 -1 ]",34,"+ 0 0 - + 0 + - - "
7182,"[ 1 0 0 -56 70 56 -28 -8 -1 ]",34,"+ 0 0 - + + - - - "
7434,"[ 1 0 28 0 70 -56 0 -8 -1 ]",34,"+ 0 + 0 + - 0 - - "
7497,"[ 1 0 28 0 -70 56 28 -8 -1 ]",34,"+ 0 + 0 - + + - - "
7713,"[ 1 0 28 56 -70 0 28 -8 -1 ]",34,"+ 0 + + - 0 + - - "
7749,"[ 1 0 28 56 -70 56 -28 -8 -1 ]",34,"+ 0 + + - + - - - "
7866,"[ 1 0 28 -56 70 0 0 -8 -1 ]",34,"+ 0 + - + 0 0 - - "
8109,"[ 1 0 -28 0 70 0 0 -8 -1 ]",34,"+ 0 - 0 + 0 0 - - "
8406,"[ 1 0 -28 56 70 -56 0 -8 -1 ]",34,"+ 0 - + + - 0 - - "
8469,"[ 1 0 -28 56 -70 56 28 -8 -1 ]",34,"+ 0 - + - + + - - "
8622,"[ 1 0 -28 -56 70 56 0 -8 -1 ]",34,"+ 0 - - + + 0 - - "
11037,"[ 1 -8 0 0 70 0 -28 0 -1 ]",34,"+ - 0 0 + 0 - 0 - "
11082,"[ 1 -8 0 0 70 -56 28 0 -1 ]",34,"+ - 0 0 + - + 0 - "
11334,"[ 1 -8 0 56 70 -56 -28 0 -1 ]",34,"+ - 0 + + - - 0 - "
11370,"[ 1 -8 0 56 -70 56 0 0 -1 ]",34,"+ - 0 + - + 0 0 - "
11514,"[ 1 -8 0 -56 70 0 28 0 -1 ]",34,"+ - 0 - + 0 + 0 - "
11550,"[ 1 -8 0 -56 70 56 -28 0 -1 ]",34,"+ - 0 - + + - 0 - "
11802,"[ 1 -8 28 0 70 -56 0 0 -1 ]",34,"+ - + 0 + - 0 0 - "
11865,"[ 1 -8 28 0 -70 56 28 0 -1 ]",34,"+ - + 0 - + + 0 - "
12081,"[ 1 -8 28 56 -70 0 28 0 -1 ]",34,"+ - + + - 0 + 0 - "
12117,"[ 1 -8 28 56 -70 56 -28 0 -1 ]",34,"+ - + + - + - 0 - "
12234,"[ 1 -8 28 -56 70 0 0 0 -1 ]",34,"+ - + - + 0 0 0 - "
12477,"[ 1 -8 -28 0 70 0 0 0 -1 ]",34,"+ - - 0 + 0 0 0 - "
12774,"[ 1 -8 -28 56 70 -56 0 0 -1 ]",34,"+ - - + + - 0 0 - "
12837,"[ 1 -8 -28 56 -70 56 28 0 -1 ]",34,"+ - - + - + + 0 - "
12990,"[ 1 -8 -28 -56 70 56 0 0 -1 ]",34,"+ - - - + + 0 0 - "
13137,"[ -1 0 0 0 0 0 28 8 -1 ]",34,"- 0 0 0 0 0 + + - "
13173,"[ -1 0 0 0 0 56 -28 8 -1 ]",34,"- 0 0 0 0 + - + - "
13229,"[ -1 0 0 0 70 0 -28 -8 1 ]",34,"- 0 0 0 + 0 - - + "
13274,"[ -1 0 0 0 70 -56 28 -8 1 ]",34,"- 0 0 0 + - + - + "
13389,"[ -1 0 0 56 0 0 -28 8 -1 ]",34,"- 0 0 + 0 0 - + - "
13434,"[ -1 0 0 56 0 -56 28 8 -1 ]",34,"- 0 0 + 0 - + + - "
13526,"[ -1 0 0 56 70 -56 -28 -8 1 ]",34,"- 0 0 + + - - - + "
13562,"[ -1 0 0 56 -70 56 0 -8 1 ]",34,"- 0 0 + - + 0 - + "
13650,"[ -1 0 0 -56 0 56 28 8 -1 ]",34,"- 0 0 - 0 + + + - "
13706,"[ -1 0 0 -56 70 0 28 -8 1 ]",34,"- 0 0 - + 0 + - + "
13742,"[ -1 0 0 -56 70 56 -28 -8 1 ]",34,"- 0 0 - + + - - + "
13857,"[ -1 0 28 0 0 0 0 8 -1 ]",34,"- 0 + 0 0 0 0 + - "
13994,"[ -1 0 28 0 70 -56 0 -8 1 ]",34,"- 0 + 0 + - 0 - + "
14057,"[ -1 0 28 0 -70 56 28 -8 1 ]",34,"- 0 + 0 - + + - + "
14154,"[ -1 0 28 56 0 -56 0 8 -1 ]",34,"- 0 + + 0 - 0 + - "
14273,"[ -1 0 28 56 -70 0 28 -8 1 ]",34,"- 0 + + - 0 + - + "
14309,"[ -1 0 28 56 -70 56 -28 -8 1 ]",34,"- 0 + + - + - - + "
14370,"[ -1 0 28 -56 0 56 0 8 -1 ]",34,"- 0 + - 0 + 0 + - "
14426,"[ -1 0 28 -56 70 0 0 -8 1 ]",34,"- 0 + - + 0 0 - + "
14613,"[ -1 0 -28 0 0 56 0 8 -1 ]",34,"- 0 - 0 0 + 0 + - "
14669,"[ -1 0 -28 0 70 0 0 -8 1 ]",34,"- 0 - 0 + 0 0 - + "
14829,"[ -1 0 -28 56 0 0 0 8 -1 ]",34,"- 0 - + 0 0 0 + - "
14966,"[ -1 0 -28 56 70 -56 0 -8 1 ]",34,"- 0 - + + - 0 - + "
15029,"[ -1 0 -28 56 -70 56 28 -8 1 ]",34,"- 0 - + - + + - + "
15182,"[ -1 0 -28 -56 70 56 0 -8 1 ]",34,"- 0 - - + + 0 - + "
15321,"[ -1 8 0 0 0 0 28 0 -1 ]",34,"- + 0 0 0 0 + 0 - "
15357,"[ -1 8 0 0 0 56 -28 0 -1 ]",34,"- + 0 0 0 + - 0 - "
15573,"[ -1 8 0 56 0 0 -28 0 -1 ]",34,"- + 0 + 0 0 - 0 - "
15618,"[ -1 8 0 56 0 -56 28 0 -1 ]",34,"- + 0 + 0 - + 0 - "
15834,"[ -1 8 0 -56 0 56 28 0 -1 ]",34,"- + 0 - 0 + + 0 - "
16041,"[ -1 8 28 0 0 0 0 0 -1 ]",34,"- + + 0 0 0 0 0 - "
16338,"[ -1 8 28 56 0 -56 0 0 -1 ]",34,"- + + + 0 - 0 0 - "
16554,"[ -1 8 28 -56 0 56 0 0 -1 ]",34,"- + + - 0 + 0 0 - "
16797,"[ -1 8 -28 0 0 56 0 0 -1 ]",34,"- + - 0 0 + 0 0 - "
17013,"[ -1 8 -28 56 0 0 0 0 -1 ]",34,"- + - + 0 0 0 0 - "
17597,"[ -1 -8 0 0 70 0 -28 0 1 ]",34,"- - 0 0 + 0 - 0 + "
17642,"[ -1 -8 0 0 70 -56 28 0 1 ]",34,"- - 0 0 + - + 0 + "
17894,"[ -1 -8 0 56 70 -56 -28 0 1 ]",34,"- - 0 + + - - 0 + "
17930,"[ -1 -8 0 56 -70 56 0 0 1 ]",34,"- - 0 + - + 0 0 + "
18074,"[ -1 -8 0 -56 70 0 28 0 1 ]",34,"- - 0 - + 0 + 0 + "
18110,"[ -1 -8 0 -56 70 56 -28 0 1 ]",34,"- - 0 - + + - 0 + "
18362,"[ -1 -8 28 0 70 -56 0 0 1 ]",34,"- - + 0 + - 0 0 + "
18425,"[ -1 -8 28 0 -70 56 28 0 1 ]",34,"- - + 0 - + + 0 + "
