Step,Sequence,Sum,Choices
59,"[ 0 0 0 20 0 -6 -1 ]",13,"0 0 0 + 0 - - "
158,"[ 0 0 -15 20 15 -6 -1 ]",13,"0 0 - + + - - "
230,"[ 0 0 15 20 -15 -6 -1 ]",13,"0 0 + + - - - "
299,"[ 0 -6 0 20 0 0 -1 ]",13,"0 - 0 + 0 0 - "
398,"[ 0 -6 -15 20 15 0 -1 ]",13,"0 - - + + 0 - "
470,"[ 0 -6 15 20 -15 0 -1 ]",13,"0 - + + - 0 - "
495,"[ 0 6 0 0 0 6 1 ]",13,"0 + 0 0 0 + + "
594,"[ 0 6 -15 0 15 6 1 ]",13,"0 + - 0 + + + "
666,"[ 0 6 15 0 -15 6 1 ]",13,"0 + + 0 - + + "
749,"[ -1 0 0 0 15 0 -1 ]",13,"- 0 0 0 + 0 - "
787,"[ -1 0 0 20 0 -6 0 ]",13,"- 0 0 + 0 - 0 "
886,"[ -1 0 -15 20 15 -6 0 ]",13,"- 0 - + + - 0 "
893,"[ -1 0 15 0 0 0 -1 ]",13,"- 0 + 0 0 0 - "
958,"[ -1 0 15 20 -15 -6 0 ]",13,"- 0 + + - - 0 "
998,"[ -1 -6 0 0 15 6 -1 ]",13,"- - 0 0 + + - "
1027,"[ -1 -6 0 20 0 0 0 ]",13,"- - 0 + 0 0 0 "
1126,"[ -1 -6 -15 20 15 0 0 ]",13,"- - - + + 0 0 "
1142,"[ -1 -6 15 0 0 6 -1 ]",13,"- - + 0 0 + - "
1198,"[ -1 -6 15 20 -15 0 0 ]",13,"- - + + - 0 0 "
1238,"[ -1 6 0 0 15 -6 -1 ]",13,"- + 0 0 + - - "
1382,"[ -1 6 15 0 0 -6 -1 ]",13,"- + + 0 0 - - "
1530,"[ 1 0 0 20 -15 6 1 ]",13,"+ 0 0 + - + + "
1602,"[ 1 0 -15 20 0 6 1 ]",13,"+ 0 - + 0 + + "
1951,"[ 1 6 0 0 0 6 0 ]",13,"+ + 0 0 0 + 0 "
2010,"[ 1 6 0 20 -15 0 1 ]",13,"+ + 0 + - 0 + "
2050,"[ 1 6 -15 0 15 6 0 ]",13,"+ + - 0 + + 0 "
2082,"[ 1 6 -15 20 0 0 1 ]",13,"+ + - + 0 0 + "
2122,"[ 1 6 15 0 -15 6 0 ]",13,"+ + + 0 - + 0 "
