Step,Sequence,Sum,Choices
7225,"[ -1 0 -36 -84 126 126 -84 0 9 -1 ]",55,"- 0 - - + + - 0 + - "
7522,"[ -1 0 -36 0 -126 126 84 0 9 -1 ]",55,"- 0 - 0 - + + 0 + - "
7684,"[ -1 0 -36 0 0 0 84 0 9 -1 ]",55,"- 0 - 0 0 0 + 0 + - "
7846,"[ -1 0 -36 0 126 -126 84 0 9 -1 ]",55,"- 0 - 0 + - + 0 + - "
8224,"[ -1 0 -36 84 -126 126 0 0 9 -1 ]",55,"- 0 - + - + 0 0 + - "
8386,"[ -1 0 -36 84 0 0 0 0 9 -1 ]",55,"- 0 - + 0 0 0 0 + - "
8548,"[ -1 0 -36 84 126 -126 0 0 9 -1 ]",55,"- 0 - + + - 0 0 + - "
9403,"[ -1 0 0 -84 126 126 -84 -36 9 -1 ]",55,"- 0 0 - + + - - + - "
9700,"[ -1 0 0 0 -126 126 84 -36 9 -1 ]",55,"- 0 0 0 - + + - + - "
9862,"[ -1 0 0 0 0 0 84 -36 9 -1 ]",55,"- 0 0 0 0 0 + - + - "
10024,"[ -1 0 0 0 126 -126 84 -36 9 -1 ]",55,"- 0 0 0 + - + - + - "
10402,"[ -1 0 0 84 -126 126 0 -36 9 -1 ]",55,"- 0 0 + - + 0 - + - "
10564,"[ -1 0 0 84 0 0 0 -36 9 -1 ]",55,"- 0 0 + 0 0 0 - + - "
10726,"[ -1 0 0 84 126 -126 0 -36 9 -1 ]",55,"- 0 0 + + - 0 - + - "
13783,"[ -1 9 -36 -84 126 126 -84 0 0 -1 ]",55,"- + - - + + - 0 0 - "
14080,"[ -1 9 -36 0 -126 126 84 0 0 -1 ]",55,"- + - 0 - + + 0 0 - "
14242,"[ -1 9 -36 0 0 0 84 0 0 -1 ]",55,"- + - 0 0 0 + 0 0 - "
14404,"[ -1 9 -36 0 126 -126 84 0 0 -1 ]",55,"- + - 0 + - + 0 0 - "
14782,"[ -1 9 -36 84 -126 126 0 0 0 -1 ]",55,"- + - + - + 0 0 0 - "
14944,"[ -1 9 -36 84 0 0 0 0 0 -1 ]",55,"- + - + 0 0 0 0 0 - "
15106,"[ -1 9 -36 84 126 -126 0 0 0 -1 ]",55,"- + - + + - 0 0 0 - "
15961,"[ -1 9 0 -84 126 126 -84 -36 0 -1 ]",55,"- + 0 - + + - - 0 - "
16258,"[ -1 9 0 0 -126 126 84 -36 0 -1 ]",55,"- + 0 0 - + + - 0 - "
16420,"[ -1 9 0 0 0 0 84 -36 0 -1 ]",55,"- + 0 0 0 0 + - 0 - "
16582,"[ -1 9 0 0 126 -126 84 -36 0 -1 ]",55,"- + 0 0 + - + - 0 - "
16960,"[ -1 9 0 84 -126 126 0 -36 0 -1 ]",55,"- + 0 + - + 0 - 0 - "
17122,"[ -1 9 0 84 0 0 0 -36 0 -1 ]",55,"- + 0 + 0 0 0 - 0 - "
17284,"[ -1 9 0 84 126 -126 0 -36 0 -1 ]",55,"- + 0 + + - 0 - 0 - "
20151,"[ 0 -9 -36 -84 0 126 84 -36 9 1 ]",55,"0 - - - 0 + + - + + "
20313,"[ 0 -9 -36 -84 126 0 84 -36 9 1 ]",55,"0 - - - + 0 + - + + "
