Step,Sequence,Sum,Choices
134,"[ -1 -8 -28 -56 70 56 0 0 1 ]",34,"- - - - + + 0 0 + "
287,"[ -1 -8 -28 56 -70 56 28 0 1 ]",34,"- - - + - + + 0 + "
350,"[ -1 -8 -28 56 70 -56 0 0 1 ]",34,"- - - + + - 0 0 + "
647,"[ -1 -8 -28 0 70 0 0 0 1 ]",34,"- - - 0 + 0 0 0 + "
890,"[ -1 -8 28 -56 70 0 0 0 1 ]",34,"- - + - + 0 0 0 + "
1007,"[ -1 -8 28 56 -70 56 -28 0 1 ]",34,"- - + + - + - 0 + "
1043,"[ -1 -8 28 56 -70 0 28 0 1 ]",34,"- - + + - 0 + 0 + "
1259,"[ -1 -8 28 0 -70 56 28 0 1 ]",34,"- - + 0 - + + 0 + "
1322,"[ -1 -8 28 0 70 -56 0 0 1 ]",34,"- - + 0 + - 0 0 + "
1574,"[ -1 -8 0 -56 70 56 -28 0 1 ]",34,"- - 0 - + + - 0 + "
1610,"[ -1 -8 0 -56 70 0 28 0 1 ]",34,"- - 0 - + 0 + 0 + "
1754,"[ -1 -8 0 56 -70 56 0 0 1 ]",34,"- - 0 + - + 0 0 + "
1790,"[ -1 -8 0 56 70 -56 -28 0 1 ]",34,"- - 0 + + - - 0 + "
2042,"[ -1 -8 0 0 70 -56 28 0 1 ]",34,"- - 0 0 + - + 0 + "
2087,"[ -1 -8 0 0 70 0 -28 0 1 ]",34,"- - 0 0 + 0 - 0 + "
2671,"[ -1 8 -28 56 0 0 0 0 -1 ]",34,"- + - + 0 0 0 0 - "
2887,"[ -1 8 -28 0 0 56 0 0 -1 ]",34,"- + - 0 0 + 0 0 - "
3130,"[ -1 8 28 -56 0 56 0 0 -1 ]",34,"- + + - 0 + 0 0 - "
3346,"[ -1 8 28 56 0 -56 0 0 -1 ]",34,"- + + + 0 - 0 0 - "
3643,"[ -1 8 28 0 0 0 0 0 -1 ]",34,"- + + 0 0 0 0 0 - "
3850,"[ -1 8 0 -56 0 56 28 0 -1 ]",34,"- + 0 - 0 + + 0 - "
4066,"[ -1 8 0 56 0 -56 28 0 -1 ]",34,"- + 0 + 0 - + 0 - "
4111,"[ -1 8 0 56 0 0 -28 0 -1 ]",34,"- + 0 + 0 0 - 0 - "
4327,"[ -1 8 0 0 0 56 -28 0 -1 ]",34,"- + 0 0 0 + - 0 - "
4363,"[ -1 8 0 0 0 0 28 0 -1 ]",34,"- + 0 0 0 0 + 0 - "
4502,"[ -1 0 -28 -56 70 56 0 -8 1 ]",34,"- 0 - - + + 0 - + "
4655,"[ -1 0 -28 56 -70 56 28 -8 1 ]",34,"- 0 - + - + + - + "
4718,"[ -1 0 -28 56 70 -56 0 -8 1 ]",34,"- 0 - + + - 0 - + "
4855,"[ -1 0 -28 56 0 0 0 8 -1 ]",34,"- 0 - + 0 0 0 + - "
5015,"[ -1 0 -28 0 70 0 0 -8 1 ]",34,"- 0 - 0 + 0 0 - + "
5071,"[ -1 0 -28 0 0 56 0 8 -1 ]",34,"- 0 - 0 0 + 0 + - "
5258,"[ -1 0 28 -56 70 0 0 -8 1 ]",34,"- 0 + - + 0 0 - + "
5314,"[ -1 0 28 -56 0 56 0 8 -1 ]",34,"- 0 + - 0 + 0 + - "
5375,"[ -1 0 28 56 -70 56 -28 -8 1 ]",34,"- 0 + + - + - - + "
