Step,Sequence,Sum,Choices
72,"[ 1 7 21 35 -35 0 -7 -1 ]",21,"+ + + + - 0 - - "
126,"[ 1 7 21 0 0 0 -7 -1 ]",21,"+ + + 0 0 0 - - "
138,"[ 1 7 21 0 -35 21 7 -1 ]",21,"+ + + 0 - + + - "
180,"[ 1 7 21 -35 35 0 -7 -1 ]",21,"+ + + - + 0 - - "
192,"[ 1 7 21 -35 0 21 7 -1 ]",21,"+ + + - 0 + + - "
294,"[ 1 7 0 35 0 -21 0 -1 ]",21,"+ + 0 + 0 - 0 - "
306,"[ 1 7 0 35 -35 21 -7 -1 ]",21,"+ + 0 + - + - - "
348,"[ 1 7 0 0 35 -21 0 -1 ]",21,"+ + 0 0 + - 0 - "
360,"[ 1 7 0 0 0 21 -7 -1 ]",21,"+ + 0 0 0 + - - "
414,"[ 1 7 0 -35 35 21 -7 -1 ]",21,"+ + 0 - + + - - "
528,"[ 1 7 -21 35 0 0 0 -1 ]",21,"+ + - + 0 0 0 - "
582,"[ 1 7 -21 0 35 0 0 -1 ]",21,"+ + - 0 + 0 0 - "
798,"[ 1 0 21 35 -35 0 0 -1 ]",21,"+ 0 + + - 0 0 - "
852,"[ 1 0 21 0 0 0 0 -1 ]",21,"+ 0 + 0 0 0 0 - "
906,"[ 1 0 21 -35 35 0 0 -1 ]",21,"+ 0 + - + 0 0 - "
1020,"[ 1 0 0 35 0 -21 7 -1 ]",21,"+ 0 0 + 0 - + - "
1032,"[ 1 0 0 35 -35 21 0 -1 ]",21,"+ 0 0 + - + 0 - "
1074,"[ 1 0 0 0 35 -21 7 -1 ]",21,"+ 0 0 0 + - + - "
1086,"[ 1 0 0 0 0 21 0 -1 ]",21,"+ 0 0 0 0 + 0 - "
1140,"[ 1 0 0 -35 35 21 0 -1 ]",21,"+ 0 0 - + + 0 - "
1242,"[ 1 0 -21 35 35 -21 -7 -1 ]",21,"+ 0 - + + - - - "
1254,"[ 1 0 -21 35 0 0 7 -1 ]",21,"+ 0 - + 0 0 + - "
1308,"[ 1 0 -21 0 35 0 7 -1 ]",21,"+ 0 - 0 + 0 + - "
1512,"[ 1 -7 21 35 0 -21 -7 -1 ]",21,"+ - + + 0 - - - "
1524,"[ 1 -7 21 35 -35 0 7 -1 ]",21,"+ - + + - 0 + - "
1566,"[ 1 -7 21 0 35 -21 -7 -1 ]",21,"+ - + 0 + - - - "
1578,"[ 1 -7 21 0 0 0 7 -1 ]",21,"+ - + 0 0 0 + - "
1632,"[ 1 -7 21 -35 35 0 7 -1 ]",21,"+ - + - + 0 + - "
1746,"[ 1 -7 0 35 0 0 -7 -1 ]",21,"+ - 0 + 0 0 - - "
1758,"[ 1 -7 0 35 -35 21 7 -1 ]",21,"+ - 0 + - + + - "
1800,"[ 1 -7 0 0 35 0 -7 -1 ]",21,"+ - 0 0 + 0 - - "
1812,"[ 1 -7 0 0 0 21 7 -1 ]",21,"+ - 0 0 0 + + - "
1866,"[ 1 -7 0 -35 35 21 7 -1 ]",21,"+ - 0 - + + + - "
1968,"[ 1 -7 -21 35 35 -21 0 -1 ]",21,"+ - - + + - 0 - "
1980,"[ 1 -7 -21 35 0 21 -7 -1 ]",21,"+ - - + 0 + - - "
2034,"[ 1 -7 -21 0 35 21 -7 -1 ]",21,"+ - - 0 + + - - "
2258,"[ 0 7 21 35 -35 0 -7 0 ]",21,"0 + + + - 0 - 0 "
2312,"[ 0 7 21 0 0 0 -7 0 ]",21,"0 + + 0 0 0 - 0 "
