Step,Sequence,Sum,Choices
36,"[ 0 0 0 20 0 -6 -1 ]",13,"0 0 0 + 0 - - "
135,"[ 0 0 15 20 -15 -6 -1 ]",13,"0 0 + + - - - "
207,"[ 0 0 -15 20 15 -6 -1 ]",13,"0 0 - + + - - "
248,"[ 0 6 0 0 0 6 1 ]",13,"0 + 0 0 0 + + "
347,"[ 0 6 15 0 -15 6 1 ]",13,"0 + + 0 - + + "
419,"[ 0 6 -15 0 15 6 1 ]",13,"0 + - 0 + + + "
516,"[ 0 -6 0 20 0 0 -1 ]",13,"0 - 0 + 0 0 - "
615,"[ 0 -6 15 20 -15 0 -1 ]",13,"0 - + + - 0 - "
687,"[ 0 -6 -15 20 15 0 -1 ]",13,"0 - - + + 0 - "
779,"[ 1 0 0 20 -15 6 1 ]",13,"+ 0 0 + - + + "
923,"[ 1 0 -15 20 0 6 1 ]",13,"+ 0 - + 0 + + "
976,"[ 1 6 0 0 0 6 0 ]",13,"+ + 0 0 0 + 0 "
1019,"[ 1 6 0 20 -15 0 1 ]",13,"+ + 0 + - 0 + "
1075,"[ 1 6 15 0 -15 6 0 ]",13,"+ + + 0 - + 0 "
1147,"[ 1 6 -15 0 15 6 0 ]",13,"+ + - 0 + + 0 "
1163,"[ 1 6 -15 20 0 0 1 ]",13,"+ + - + 0 0 + "
1470,"[ -1 0 0 0 15 0 -1 ]",13,"- 0 0 0 + 0 - "
1492,"[ -1 0 0 20 0 -6 0 ]",13,"- 0 0 + 0 - 0 "
1542,"[ -1 0 15 0 0 0 -1 ]",13,"- 0 + 0 0 0 - "
1591,"[ -1 0 15 20 -15 -6 0 ]",13,"- 0 + + - - 0 "
1663,"[ -1 0 -15 20 15 -6 0 ]",13,"- 0 - + + - 0 "
1719,"[ -1 6 0 0 15 -6 -1 ]",13,"- + 0 0 + - - "
1791,"[ -1 6 15 0 0 -6 -1 ]",13,"- + + 0 0 - - "
1959,"[ -1 -6 0 0 15 6 -1 ]",13,"- - 0 0 + + - "
1972,"[ -1 -6 0 20 0 0 0 ]",13,"- - 0 + 0 0 0 "
2031,"[ -1 -6 15 0 0 6 -1 ]",13,"- - + 0 0 + - "
2071,"[ -1 -6 15 20 -15 0 0 ]",13,"- - + + - 0 0 "
2143,"[ -1 -6 -15 20 15 0 0 ]",13,"- - - + + 0 0 "
