Step,Sequence,Sum,Choices
156,"[ -1 -7 -21 0 35 21 -7 1 ]",21,"- - - 0 + + - + "
210,"[ -1 -7 -21 35 0 21 -7 1 ]",21,"- - - + 0 + - + "
222,"[ -1 -7 -21 35 35 -21 0 1 ]",21,"- - - + + - 0 + "
324,"[ -1 -7 0 -35 35 21 7 1 ]",21,"- - 0 - + + + + "
378,"[ -1 -7 0 0 0 21 7 1 ]",21,"- - 0 0 0 + + + "
390,"[ -1 -7 0 0 35 0 -7 1 ]",21,"- - 0 0 + 0 - + "
432,"[ -1 -7 0 35 -35 21 7 1 ]",21,"- - 0 + - + + + "
444,"[ -1 -7 0 35 0 0 -7 1 ]",21,"- - 0 + 0 0 - + "
558,"[ -1 -7 21 -35 35 0 7 1 ]",21,"- - + - + 0 + + "
612,"[ -1 -7 21 0 0 0 7 1 ]",21,"- - + 0 0 0 + + "
624,"[ -1 -7 21 0 35 -21 -7 1 ]",21,"- - + 0 + - - + "
666,"[ -1 -7 21 35 -35 0 7 1 ]",21,"- - + + - 0 + + "
678,"[ -1 -7 21 35 0 -21 -7 1 ]",21,"- - + + 0 - - + "
882,"[ -1 0 -21 0 35 0 7 1 ]",21,"- 0 - 0 + 0 + + "
936,"[ -1 0 -21 35 0 0 7 1 ]",21,"- 0 - + 0 0 + + "
948,"[ -1 0 -21 35 35 -21 -7 1 ]",21,"- 0 - + + - - + "
1050,"[ -1 0 0 -35 35 21 0 1 ]",21,"- 0 0 - + + 0 + "
1104,"[ -1 0 0 0 0 21 0 1 ]",21,"- 0 0 0 0 + 0 + "
1116,"[ -1 0 0 0 35 -21 7 1 ]",21,"- 0 0 0 + - + + "
1158,"[ -1 0 0 35 -35 21 0 1 ]",21,"- 0 0 + - + 0 + "
1170,"[ -1 0 0 35 0 -21 7 1 ]",21,"- 0 0 + 0 - + + "
1284,"[ -1 0 21 -35 35 0 0 1 ]",21,"- 0 + - + 0 0 + "
1338,"[ -1 0 21 0 0 0 0 1 ]",21,"- 0 + 0 0 0 0 + "
1392,"[ -1 0 21 35 -35 0 0 1 ]",21,"- 0 + + - 0 0 + "
1608,"[ -1 7 -21 0 35 0 0 1 ]",21,"- + - 0 + 0 0 + "
1662,"[ -1 7 -21 35 0 0 0 1 ]",21,"- + - + 0 0 0 + "
1776,"[ -1 7 0 -35 35 21 -7 1 ]",21,"- + 0 - + + - + "
1830,"[ -1 7 0 0 0 21 -7 1 ]",21,"- + 0 0 0 + - + "
1842,"[ -1 7 0 0 35 -21 0 1 ]",21,"- + 0 0 + - 0 + "
1884,"[ -1 7 0 35 -35 21 -7 1 ]",21,"- + 0 + - + - + "
1896,"[ -1 7 0 35 0 -21 0 1 ]",21,"- + 0 + 0 - 0 + "
1998,"[ -1 7 21 -35 0 21 7 1 ]",21,"- + + - 0 + + + "
2010,"[ -1 7 21 -35 35 0 -7 1 ]",21,"- + + - + 0 - + "
2052,"[ -1 7 21 0 -35 21 7 1 ]",21,"- + + 0 - + + + "
2064,"[ -1 7 21 0 0 0 -7 1 ]",21,"- + + 0 0 0 - + "
2118,"[ -1 7 21 35 -35 0 -7 1 ]",21,"- + + + - 0 - + "
2342,"[ 0 -7 -21 0 35 21 -7 0 ]",21,"0 - - 0 + + - 0 "
2396,"[ 0 -7 -21 35 0 21 -7 0 ]",21,"0 - - + 0 + - 0 "
2408,"[ 0 -7 -21 35 35 -21 0 0 ]",21,"0 - - + + - 0 0 "
2510,"[ 0 -7 0 -35 35 21 7 0 ]",21,"0 - 0 - + + + 0 "
2564,"[ 0 -7 0 0 0 21 7 0 ]",21,"0 - 0 0 0 + + 0 "
2576,"[ 0 -7 0 0 35 0 -7 0 ]",21,"0 - 0 0 + 0 - 0 "
2618,"[ 0 -7 0 35 -35 21 7 0 ]",21,"0 - 0 + - + + 0 "
