Step,Sequence,Sum,Choices
1302,"[ -1 -10 -45 -120 210 0 210 -120 -45 10 0 ]",89,"- - - - + 0 + - - + 0 "
1446,"[ -1 -10 -45 -120 210 0 0 0 45 10 0 ]",89,"- - - - + 0 0 0 + + 0 "
2094,"[ -1 -10 -45 -120 0 0 210 0 45 10 0 ]",89,"- - - - 0 0 + 0 + + 0 "
5766,"[ -1 -10 -45 0 210 0 0 -120 45 10 0 ]",89,"- - - 0 + 0 0 - + + 0 "
6414,"[ -1 -10 -45 0 0 0 210 -120 45 10 0 ]",89,"- - - 0 0 0 + - + + 0 "
7170,"[ -1 -10 45 -120 -210 0 210 120 45 10 0 ]",89,"- - + - - 0 + + + + 0 "
7818,"[ -1 -10 45 -120 210 0 -210 120 45 10 0 ]",89,"- - + - + 0 - + + + 0 "
7998,"[ -1 -10 45 -120 210 0 0 0 -45 10 0 ]",89,"- - + - + 0 0 0 - + 0 "
8646,"[ -1 -10 45 -120 0 0 210 0 -45 10 0 ]",89,"- - + - 0 0 + 0 - + 0 "
8709,"[ -1 -10 45 -120 0 0 0 120 45 10 0 ]",89,"- - + - 0 0 0 + + + 0 "
9330,"[ -1 -10 45 120 -210 0 210 -120 45 10 0 ]",89,"- - + + - 0 + - + + 0 "
9978,"[ -1 -10 45 120 210 0 -210 -120 45 10 0 ]",89,"- - + + + 0 - - + + 0 "
10869,"[ -1 -10 45 120 0 0 0 -120 45 10 0 ]",89,"- - + + 0 0 0 - + + 0 "
11571,"[ -1 -10 45 0 -210 0 210 0 45 10 0 ]",89,"- - + 0 - 0 + 0 + + 0 "
12219,"[ -1 -10 45 0 210 0 -210 0 45 10 0 ]",89,"- - + 0 + 0 - 0 + + 0 "
12318,"[ -1 -10 45 0 210 0 0 -120 -45 10 0 ]",89,"- - + 0 + 0 0 - - + 0 "
12966,"[ -1 -10 45 0 0 0 210 -120 -45 10 0 ]",89,"- - + 0 0 0 + - - + 0 "
13110,"[ -1 -10 45 0 0 0 0 0 45 10 0 ]",89,"- - + 0 0 0 0 0 + + 0 "
14577,"[ -1 -10 0 -120 210 0 0 0 0 10 0 ]",89,"- - 0 - + 0 0 0 0 + 0 "
15225,"[ -1 -10 0 -120 0 0 210 0 0 10 0 ]",89,"- - 0 - 0 0 + 0 0 + 0 "
18897,"[ -1 -10 0 0 210 0 0 -120 0 10 0 ]",89,"- - 0 0 + 0 0 - 0 + 0 "
19545,"[ -1 -10 0 0 0 0 210 -120 0 10 0 ]",89,"- - 0 0 0 0 + - 0 + 0 "
20982,"[ -1 10 -45 -120 210 0 210 -120 -45 -10 0 ]",89,"- + - - + 0 + - - - 0 "
21126,"[ -1 10 -45 -120 210 0 0 0 45 -10 0 ]",89,"- + - - + 0 0 0 + - 0 "
21774,"[ -1 10 -45 -120 0 0 210 0 45 -10 0 ]",89,"- + - - 0 0 + 0 + - 0 "
25446,"[ -1 10 -45 0 210 0 0 -120 45 -10 0 ]",89,"- + - 0 + 0 0 - + - 0 "
26094,"[ -1 10 -45 0 0 0 210 -120 45 -10 0 ]",89,"- + - 0 0 0 + - + - 0 "
26850,"[ -1 10 45 -120 -210 0 210 120 45 -10 0 ]",89,"- + + - - 0 + + + - 0 "
27498,"[ -1 10 45 -120 210 0 -210 120 45 -10 0 ]",89,"- + + - + 0 - + + - 0 "
27678,"[ -1 10 45 -120 210 0 0 0 -45 -10 0 ]",89,"- + + - + 0 0 0 - - 0 "
28326,"[ -1 10 45 -120 0 0 210 0 -45 -10 0 ]",89,"- + + - 0 0 + 0 - - 0 "
28389,"[ -1 10 45 -120 0 0 0 120 45 -10 0 ]",89,"- + + - 0 0 0 + + - 0 "
29010,"[ -1 10 45 120 -210 0 210 -120 45 -10 0 ]",89,"- + + + - 0 + - + - 0 "
29658,"[ -1 10 45 120 210 0 -210 -120 45 -10 0 ]",89,"- + + + + 0 - - + - 0 "
30549,"[ -1 10 45 120 0 0 0 -120 45 -10 0 ]",89,"- + + + 0 0 0 - + - 0 "
31251,"[ -1 10 45 0 -210 0 210 0 45 -10 0 ]",89,"- + + 0 - 0 + 0 + - 0 "
31899,"[ -1 10 45 0 210 0 -210 0 45 -10 0 ]",89,"- + + 0 + 0 - 0 + - 0 "
31998,"[ -1 10 45 0 210 0 0 -120 -45 -10 0 ]",89,"- + + 0 + 0 0 - - - 0 "
32646,"[ -1 10 45 0 0 0 210 -120 -45 -10 0 ]",89,"- + + 0 0 0 + - - - 0 "
32790,"[ -1 10 45 0 0 0 0 0 45 -10 0 ]",89,"- + + 0 0 0 0 0 + - 0 "
34257,"[ -1 10 0 -120 210 0 0 0 0 -10 0 ]",89,"- + 0 - + 0 0 0 0 - 0 "
34905,"[ -1 10 0 -120 0 0 210 0 0 -10 0 ]",89,"- + 0 - 0 0 + 0 0 - 0 "
38577,"[ -1 10 0 0 210 0 0 -120 0 -10 0 ]",89,"- + 0 0 + 0 0 - 0 - 0 "
39225,"[ -1 10 0 0 0 0 210 -120 0 -10 0 ]",89,"- + 0 0 0 0 + - 0 - 0 "
40671,"[ -1 0 -45 -120 210 0 210 -120 -45 0 0 ]",89,"- 0 - - + 0 + - - 0 0 "
40815,"[ -1 0 -45 -120 210 0 0 0 45 0 0 ]",89,"- 0 - - + 0 0 0 + 0 0 "
41463,"[ -1 0 -45 -120 0 0 210 0 45 0 0 ]",89,"- 0 - - 0 0 + 0 + 0 0 "
45135,"[ -1 0 -45 0 210 0 0 -120 45 0 0 ]",89,"- 0 - 0 + 0 0 - + 0 0 "
45783,"[ -1 0 -45 0 0 0 210 -120 45 0 0 ]",89,"- 0 - 0 0 0 + - + 0 0 "
46539,"[ -1 0 45 -120 -210 0 210 120 45 0 0 ]",89,"- 0 + - - 0 + + + 0 0 "
47187,"[ -1 0 45 -120 210 0 -210 120 45 0 0 ]",89,"- 0 + - + 0 - + + 0 0 "
47367,"[ -1 0 45 -120 210 0 0 0 -45 0 0 ]",89,"- 0 + - + 0 0 0 - 0 0 "
48015,"[ -1 0 45 -120 0 0 210 0 -45 0 0 ]",89,"- 0 + - 0 0 + 0 - 0 0 "
48078,"[ -1 0 45 -120 0 0 0 120 45 0 0 ]",89,"- 0 + - 0 0 0 + + 0 0 "
