Step,Sequence,Sum,Choices
617,"[ 1 10 45 120 210 -252 0 0 -45 0 0 ]",89,"+ + + + + - 0 0 - 0 0 "
653,"[ 1 10 45 120 210 -252 -210 120 45 0 0 ]",89,"+ + + + + - - + + 0 0 "
961,"[ 1 10 45 120 0 252 -210 -120 0 -10 1 ]",89,"+ + + + 0 + - - 0 - + "
1265,"[ 1 10 45 120 0 -252 210 0 -45 0 0 ]",89,"+ + + + 0 - + 0 - 0 0 "
1301,"[ 1 10 45 120 0 -252 0 120 45 0 0 ]",89,"+ + + + 0 - 0 + + 0 0 "
1609,"[ 1 10 45 120 -210 252 0 -120 0 -10 1 ]",89,"+ + + + - + 0 - 0 - + "
1949,"[ 1 10 45 120 -210 -252 210 120 45 0 0 ]",89,"+ + + + - - + + + 0 0 "
2777,"[ 1 10 45 0 210 -252 0 120 -45 0 0 ]",89,"+ + + 0 + - 0 + - 0 0 "
3121,"[ 1 10 45 0 0 252 -210 0 0 -10 1 ]",89,"+ + + 0 0 + - 0 0 - + "
3425,"[ 1 10 45 0 0 -252 210 120 -45 0 0 ]",89,"+ + + 0 0 - + + - 0 0 "
3769,"[ 1 10 45 0 -210 252 0 0 0 -10 1 ]",89,"+ + + 0 - + 0 0 0 - + "
5281,"[ 1 10 45 -120 0 252 -210 120 0 -10 1 ]",89,"+ + + - 0 + - + 0 - + "
5929,"[ 1 10 45 -120 -210 252 0 120 0 -10 1 ]",89,"+ + + - - + 0 + 0 - + "
7169,"[ 1 10 0 120 210 -252 0 0 0 0 0 ]",89,"+ + 0 + + - 0 0 0 0 0 "
7513,"[ 1 10 0 120 0 252 -210 -120 45 -10 1 ]",89,"+ + 0 + 0 + - - + - + "
7817,"[ 1 10 0 120 0 -252 210 0 0 0 0 ]",89,"+ + 0 + 0 - + 0 0 0 0 "
8161,"[ 1 10 0 120 -210 252 0 -120 45 -10 1 ]",89,"+ + 0 + - + 0 - + - + "
8989,"[ 1 10 0 0 210 252 -210 -120 -45 -10 1 ]",89,"+ + 0 0 + + - - - - + "
9329,"[ 1 10 0 0 210 -252 0 120 0 0 0 ]",89,"+ + 0 0 + - 0 + 0 0 0 "
9637,"[ 1 10 0 0 0 252 0 -120 -45 -10 1 ]",89,"+ + 0 0 0 + 0 - - - + "
9673,"[ 1 10 0 0 0 252 -210 0 45 -10 1 ]",89,"+ + 0 0 0 + - 0 + - + "
9977,"[ 1 10 0 0 0 -252 210 120 0 0 0 ]",89,"+ + 0 0 0 - + + 0 0 0 "
10285,"[ 1 10 0 0 -210 252 210 -120 -45 -10 1 ]",89,"+ + 0 0 - + + - - - + "
10321,"[ 1 10 0 0 -210 252 0 0 45 -10 1 ]",89,"+ + 0 0 - + 0 0 + - + "
11149,"[ 1 10 0 -120 210 252 -210 0 -45 -10 1 ]",89,"+ + 0 - + + - 0 - - + "
11797,"[ 1 10 0 -120 0 252 0 0 -45 -10 1 ]",89,"+ + 0 - 0 + 0 0 - - + "
11833,"[ 1 10 0 -120 0 252 -210 120 45 -10 1 ]",89,"+ + 0 - 0 + - + + - + "
12445,"[ 1 10 0 -120 -210 252 210 0 -45 -10 1 ]",89,"+ + 0 - - + + 0 - - + "
12481,"[ 1 10 0 -120 -210 252 0 120 45 -10 1 ]",89,"+ + 0 - - + 0 + + - + "
13685,"[ 1 10 -45 120 210 -252 210 -120 -45 0 0 ]",89,"+ + - + + - + - - 0 0 "
13721,"[ 1 10 -45 120 210 -252 0 0 45 0 0 ]",89,"+ + - + + - 0 0 + 0 0 "
14369,"[ 1 10 -45 120 0 -252 210 0 45 0 0 ]",89,"+ + - + 0 - + 0 + 0 0 "
15541,"[ 1 10 -45 0 210 252 -210 -120 0 -10 1 ]",89,"+ + - 0 + + - - 0 - + "
15845,"[ 1 10 -45 0 210 -252 210 0 -45 0 0 ]",89,"+ + - 0 + - + 0 - 0 0 "
15881,"[ 1 10 -45 0 210 -252 0 120 45 0 0 ]",89,"+ + - 0 + - 0 + + 0 0 "
16189,"[ 1 10 -45 0 0 252 0 -120 0 -10 1 ]",89,"+ + - 0 0 + 0 - 0 - + "
16529,"[ 1 10 -45 0 0 -252 210 120 45 0 0 ]",89,"+ + - 0 0 - + + + 0 0 "
16837,"[ 1 10 -45 0 -210 252 210 -120 0 -10 1 ]",89,"+ + - 0 - + + - 0 - + "
17701,"[ 1 10 -45 -120 210 252 -210 0 0 -10 1 ]",89,"+ + - - + + - 0 0 - + "
18005,"[ 1 10 -45 -120 210 -252 210 120 -45 0 0 ]",89,"+ + - - + - + + - 0 0 "
18349,"[ 1 10 -45 -120 0 252 0 0 0 -10 1 ]",89,"+ + - - 0 + 0 0 0 - + "
18997,"[ 1 10 -45 -120 -210 252 210 0 0 -10 1 ]",89,"+ + - - - + + 0 0 - + "
20297,"[ 1 0 45 120 210 -252 0 0 -45 10 0 ]",89,"+ 0 + + + - 0 0 - + 0 "
20333,"[ 1 0 45 120 210 -252 -210 120 45 10 0 ]",89,"+ 0 + + + - - + + + 0 "
20641,"[ 1 0 45 120 0 252 -210 -120 0 0 1 ]",89,"+ 0 + + 0 + - - 0 0 + "
20945,"[ 1 0 45 120 0 -252 210 0 -45 10 0 ]",89,"+ 0 + + 0 - + 0 - + 0 "
20981,"[ 1 0 45 120 0 -252 0 120 45 10 0 ]",89,"+ 0 + + 0 - 0 + + + 0 "
21289,"[ 1 0 45 120 -210 252 0 -120 0 0 1 ]",89,"+ 0 + + - + 0 - 0 0 + "
