Step,Sequence,Sum,Choices
50,"[ 1 7 21 35 -35 0 -7 -1 ]",21,"+ + + + - 0 - - "
104,"[ 1 7 21 -35 35 0 -7 -1 ]",21,"+ + + - + 0 - - "
137,"[ 1 7 21 -35 0 21 7 -1 ]",21,"+ + + - 0 + + - "
191,"[ 1 7 21 0 -35 21 7 -1 ]",21,"+ + + 0 - + + - "
239,"[ 1 7 21 0 0 0 -7 -1 ]",21,"+ + + 0 0 0 - - "
323,"[ 1 7 -21 35 0 0 0 -1 ]",21,"+ + - + 0 0 0 - "
431,"[ 1 7 -21 0 35 0 0 -1 ]",21,"+ + - 0 + 0 0 - "
518,"[ 1 7 0 35 -35 21 -7 -1 ]",21,"+ + 0 + - + - - "
557,"[ 1 7 0 35 0 -21 0 -1 ]",21,"+ + 0 + 0 - 0 - "
572,"[ 1 7 0 -35 35 21 -7 -1 ]",21,"+ + 0 - + + - - "
665,"[ 1 7 0 0 35 -21 0 -1 ]",21,"+ + 0 0 + - 0 - "
707,"[ 1 7 0 0 0 21 -7 -1 ]",21,"+ + 0 0 0 + - - "
776,"[ 1 -7 21 35 -35 0 7 -1 ]",21,"+ - + + - 0 + - "
797,"[ 1 -7 21 35 0 -21 -7 -1 ]",21,"+ - + + 0 - - - "
830,"[ 1 -7 21 -35 35 0 7 -1 ]",21,"+ - + - + 0 + - "
905,"[ 1 -7 21 0 35 -21 -7 -1 ]",21,"+ - + 0 + - - - "
965,"[ 1 -7 21 0 0 0 7 -1 ]",21,"+ - + 0 0 0 + - "
989,"[ 1 -7 -21 35 35 -21 0 -1 ]",21,"+ - - + + - 0 - "
1031,"[ 1 -7 -21 35 0 21 -7 -1 ]",21,"+ - - + 0 + - - "
1139,"[ 1 -7 -21 0 35 21 -7 -1 ]",21,"+ - - 0 + + - - "
1244,"[ 1 -7 0 35 -35 21 7 -1 ]",21,"+ - 0 + - + + - "
1292,"[ 1 -7 0 35 0 0 -7 -1 ]",21,"+ - 0 + 0 0 - - "
1298,"[ 1 -7 0 -35 35 21 7 -1 ]",21,"+ - 0 - + + + - "
1400,"[ 1 -7 0 0 35 0 -7 -1 ]",21,"+ - 0 0 + 0 - - "
1433,"[ 1 -7 0 0 0 21 7 -1 ]",21,"+ - 0 0 0 + + - "
1511,"[ 1 0 21 35 -35 0 0 -1 ]",21,"+ 0 + + - 0 0 - "
