Step,Sequence,Sum,Choices
19,"[ 0 0 0 0 0 21 0 0 ]",21,"0 0 0 0 0 + 0 0 "
70,"[ 0 0 0 0 35 -21 7 0 ]",21,"0 0 0 0 + - + 0 "
154,"[ 0 0 0 -35 35 21 0 0 ]",21,"0 0 0 - + + 0 0 "
178,"[ 0 0 0 35 0 -21 7 0 ]",21,"0 0 0 + 0 - + 0 "
208,"[ 0 0 0 35 -35 21 0 0 ]",21,"0 0 0 + - + 0 0 "
304,"[ 0 0 -21 0 35 0 7 0 ]",21,"0 0 - 0 + 0 + 0 "
412,"[ 0 0 -21 35 0 0 7 0 ]",21,"0 0 - + 0 0 + 0 "
472,"[ 0 0 -21 35 35 -21 -7 0 ]",21,"0 0 - + + - - 0 "
487,"[ 0 0 21 0 0 0 0 0 ]",21,"0 0 + 0 0 0 0 0 "
622,"[ 0 0 21 -35 35 0 0 0 ]",21,"0 0 + - + 0 0 0 "
676,"[ 0 0 21 35 -35 0 0 0 ]",21,"0 0 + + - 0 0 0 "
754,"[ 0 -7 0 0 0 21 7 0 ]",21,"0 - 0 0 0 + + 0 "
787,"[ 0 -7 0 0 35 0 -7 0 ]",21,"0 - 0 0 + 0 - 0 "
889,"[ 0 -7 0 -35 35 21 7 0 ]",21,"0 - 0 - + + + 0 "
895,"[ 0 -7 0 35 0 0 -7 0 ]",21,"0 - 0 + 0 0 - 0 "
943,"[ 0 -7 0 35 -35 21 7 0 ]",21,"0 - 0 + - + + 0 "
1048,"[ 0 -7 -21 0 35 21 -7 0 ]",21,"0 - - 0 + + - 0 "
1156,"[ 0 -7 -21 35 0 21 -7 0 ]",21,"0 - - + 0 + - 0 "
1198,"[ 0 -7 -21 35 35 -21 0 0 ]",21,"0 - - + + - 0 0 "
1222,"[ 0 -7 21 0 0 0 7 0 ]",21,"0 - + 0 0 0 + 0 "
1282,"[ 0 -7 21 0 35 -21 -7 0 ]",21,"0 - + 0 + - - 0 "
1357,"[ 0 -7 21 -35 35 0 7 0 ]",21,"0 - + - + 0 + 0 "
1390,"[ 0 -7 21 35 0 -21 -7 0 ]",21,"0 - + + 0 - - 0 "
1411,"[ 0 -7 21 35 -35 0 7 0 ]",21,"0 - + + - 0 + 0 "
1480,"[ 0 7 0 0 0 21 -7 0 ]",21,"0 + 0 0 0 + - 0 "
1522,"[ 0 7 0 0 35 -21 0 0 ]",21,"0 + 0 0 + - 0 0 "
