Step,Sequence,Sum,Choices
191,"[ 0 0 0 0 0 0 210 -120 0 0 -1 ]",89,"0 0 0 0 0 0 + - 0 0 - "
468,"[ 0 0 0 0 0 -252 210 120 0 10 1 ]",89,"0 0 0 0 0 - + + 0 + + "
1487,"[ 0 0 0 0 210 0 0 -120 0 0 -1 ]",89,"0 0 0 0 + 0 0 - 0 0 - "
1764,"[ 0 0 0 0 210 -252 0 120 0 10 1 ]",89,"0 0 0 0 + - 0 + 0 + + "
2351,"[ 0 0 0 -120 0 0 210 0 0 0 -1 ]",89,"0 0 0 - 0 0 + 0 0 0 - "
3647,"[ 0 0 0 -120 210 0 0 0 0 0 -1 ]",89,"0 0 0 - + 0 0 0 0 0 - "
4788,"[ 0 0 0 120 0 -252 210 0 0 10 1 ]",89,"0 0 0 + 0 - + 0 0 + + "
6084,"[ 0 0 0 120 210 -252 0 0 0 10 1 ]",89,"0 0 0 + + - 0 0 0 + + "
6770,"[ 0 0 -45 0 0 0 210 -120 45 0 -1 ]",89,"0 0 - 0 0 0 + - + 0 - "
7047,"[ 0 0 -45 0 0 -252 210 120 45 10 1 ]",89,"0 0 - 0 0 - + + + + + "
8066,"[ 0 0 -45 0 210 0 0 -120 45 0 -1 ]",89,"0 0 - 0 + 0 0 - + 0 - "
8343,"[ 0 0 -45 0 210 -252 0 120 45 10 1 ]",89,"0 0 - 0 + - 0 + + + + "
8442,"[ 0 0 -45 0 210 -252 210 0 -45 10 1 ]",89,"0 0 - 0 + - + 0 - + + "
8930,"[ 0 0 -45 -120 0 0 210 0 45 0 -1 ]",89,"0 0 - - 0 0 + 0 + 0 - "
10226,"[ 0 0 -45 -120 210 0 0 0 45 0 -1 ]",89,"0 0 - - + 0 0 0 + 0 - "
10406,"[ 0 0 -45 -120 210 0 210 -120 -45 0 -1 ]",89,"0 0 - - + 0 + - - 0 - "
10683,"[ 0 0 -45 -120 210 -252 210 120 -45 10 1 ]",89,"0 0 - - + - + + - + + "
11367,"[ 0 0 -45 120 0 -252 210 0 45 10 1 ]",89,"0 0 - + 0 - + 0 + + + "
