Step,Sequence,Sum,Choices
10,"[ 0 0 0 0 0 21 0 0 ]",21,"0 0 0 0 0 + 0 0 "
49,"[ 0 0 0 0 35 -21 7 0 ]",21,"0 0 0 0 + - + 0 "
103,"[ 0 0 0 35 0 -21 7 0 ]",21,"0 0 0 + 0 - + 0 "
145,"[ 0 0 0 35 -35 21 0 0 ]",21,"0 0 0 + - + 0 0 "
199,"[ 0 0 0 -35 35 21 0 0 ]",21,"0 0 0 - + + 0 0 "
244,"[ 0 0 21 0 0 0 0 0 ]",21,"0 0 + 0 0 0 0 0 "
379,"[ 0 0 21 35 -35 0 0 0 ]",21,"0 0 + + - 0 0 0 "
433,"[ 0 0 21 -35 35 0 0 0 ]",21,"0 0 + - + 0 0 0 "
517,"[ 0 0 -21 0 35 0 7 0 ]",21,"0 0 - 0 + 0 + 0 "
571,"[ 0 0 -21 35 0 0 7 0 ]",21,"0 0 - + 0 0 + 0 "
619,"[ 0 0 -21 35 35 -21 -7 0 ]",21,"0 0 - + + - - 0 "
745,"[ 0 7 0 0 0 21 -7 0 ]",21,"0 + 0 0 0 + - 0 "
775,"[ 0 7 0 0 35 -21 0 0 ]",21,"0 + 0 0 + - 0 0 "
829,"[ 0 7 0 35 0 -21 0 0 ]",21,"0 + 0 + 0 - 0 0 "
880,"[ 0 7 0 35 -35 21 -7 0 ]",21,"0 + 0 + - + - 0 "
934,"[ 0 7 0 -35 35 21 -7 0 ]",21,"0 + 0 - + + - 0 "
979,"[ 0 7 21 0 0 0 -7 0 ]",21,"0 + + 0 0 0 - 0 "
1039,"[ 0 7 21 0 -35 21 7 0 ]",21,"0 + + 0 - + + 0 "
1114,"[ 0 7 21 35 -35 0 -7 0 ]",21,"0 + + + - 0 - 0 "
1147,"[ 0 7 21 -35 0 21 7 0 ]",21,"0 + + - 0 + + 0 "
1168,"[ 0 7 21 -35 35 0 -7 0 ]",21,"0 + + - + 0 - 0 "
1243,"[ 0 7 -21 0 35 0 0 0 ]",21,"0 + - 0 + 0 0 0 "
1297,"[ 0 7 -21 35 0 0 0 0 ]",21,"0 + - + 0 0 0 0 "
1471,"[ 0 -7 0 0 0 21 7 0 ]",21,"0 - 0 0 0 + + 0 "
1492,"[ 0 -7 0 0 35 0 -7 0 ]",21,"0 - 0 0 + 0 - 0 "
1546,"[ 0 -7 0 35 0 0 -7 0 ]",21,"0 - 0 + 0 0 - 0 "
1606,"[ 0 -7 0 35 -35 21 7 0 ]",21,"0 - 0 + - + + 0 "
1660,"[ 0 -7 0 -35 35 21 7 0 ]",21,"0 - 0 - + + + 0 "
1705,"[ 0 -7 21 0 0 0 7 0 ]",21,"0 - + 0 0 0 + 0 "
1753,"[ 0 -7 21 0 35 -21 -7 0 ]",21,"0 - + 0 + - - 0 "
1807,"[ 0 -7 21 35 0 -21 -7 0 ]",21,"0 - + + 0 - - 0 "
1840,"[ 0 -7 21 35 -35 0 7 0 ]",21,"0 - + + - 0 + 0 "
1894,"[ 0 -7 21 -35 35 0 7 0 ]",21,"0 - + - + 0 + 0 "
1987,"[ 0 -7 -21 0 35 21 -7 0 ]",21,"0 - - 0 + + - 0 "
2041,"[ 0 -7 -21 35 0 21 -7 0 ]",21,"0 - - + 0 + - 0 "
2071,"[ 0 -7 -21 35 35 -21 0 0 ]",21,"0 - - + + - 0 0 "
2199,"[ 1 0 0 0 0 21 0 -1 ]",21,"+ 0 0 0 0 + 0 - "
2238,"[ 1 0 0 0 35 -21 7 -1 ]",21,"+ 0 0 0 + - + - "
2292,"[ 1 0 0 35 0 -21 7 -1 ]",21,"+ 0 0 + 0 - + - "
2334,"[ 1 0 0 35 -35 21 0 -1 ]",21,"+ 0 0 + - + 0 - "
2388,"[ 1 0 0 -35 35 21 0 -1 ]",21,"+ 0 0 - + + 0 - "
2433,"[ 1 0 21 0 0 0 0 -1 ]",21,"+ 0 + 0 0 0 0 - "
2568,"[ 1 0 21 35 -35 0 0 -1 ]",21,"+ 0 + + - 0 0 - "
2622,"[ 1 0 21 -35 35 0 0 -1 ]",21,"+ 0 + - + 0 0 - "
2706,"[ 1 0 -21 0 35 0 7 -1 ]",21,"+ 0 - 0 + 0 + - "
2760,"[ 1 0 -21 35 0 0 7 -1 ]",21,"+ 0 - + 0 0 + - "
2808,"[ 1 0 -21 35 35 -21 -7 -1 ]",21,"+ 0 - + + - - - "
2934,"[ 1 7 0 0 0 21 -7 -1 ]",21,"+ + 0 0 0 + - - "
