Pas Index,Fibonacci,Expression,Choices
1,1,"+1 ","+ "
2,1,"+1 0*1 ","+ 0 "
3,2,"0*1 +2 0*1 ","0 + 0 "
4,3,"0*1 +3 0*3 0*1 ","0 + 0 0 "
5,5,"-1 0*4 +6 0*4 0*1 ","- 0 + 0 0 "
6,8,"-1 0*5 +10 0*10 0*5 -1 ","- 0 + 0 0 - "
7,13,"-1 -6 0*15 +20 0*15 0*6 0*1 ","- - 0 + 0 0 0 "
8,21,"0*1 +7 -21 +35 0*35 0*21 0*7 0*1 ","0 + - + 0 0 0 0 "
9,34,"0*1 -8 +28 -56 +70 0*56 0*28 0*8 0*1 ","0 - + - + 0 0 0 0 "
10,55,"+1 +9 0*36 -84 +126 0*126 0*84 0*36 0*9 +1 ","+ + 0 - + 0 0 0 0 + "
11,89,"+1 0*10 +45 0*120 -210 +252 0*210 0*120 0*45 0*10 +1 ","+ 0 + 0 - + 0 0 0 0 + "
12,144,"+1 +11 0*55 0*165 -330 +462 0*462 0*330 0*165 0*55 0*11 0*1 ","+ + 0 0 - + 0 0 0 0 0 0 "
13,233,"-1 -12 +66 0*220 0*495 -792 +924 0*792 0*495 0*220 +66 -12 -1 ","- - + 0 0 - + 0 0 0 + - - "
14,377,"0*1 +13 -78 0*286 0*715 -1287 +1716 0*1716 0*1287 0*715 0*286 0*78 +13 0*1 ","0 + - 0 0 - + 0 0 0 0 0 + 0 "
15,610,"-1 0*14 +91 0*364 0*1001 0*2002 -3003 +3432 0*3003 0*2002 0*1001 0*364 +91 0*14 0*1 ","- 0 + 0 0 0 - + 0 0 0 0 + 0 0 "
16,987,"-1 +15 0*105 -455 0*1365 0*3003 -5005 +6435 0*6435 0*5005 0*3003 0*1365 0*455 0*105 0*15 -1 ","- + 0 - 0 0 - + 0 0 0 0 0 0 0 - "
17,1597,"+1 +16 +120 0*560 0*1820 0*4368 0*8008 -11440 +12870 0*11440 0*8008 0*4368 0*1820 0*560 0*120 +16 +1 ","+ + + 0 0 0 0 - + 0 0 0 0 0 0 + + "
18,2584,"0*1 -17 +136 0*680 -2380 0*6188 0*12376 -19448 +24310 0*24310 0*19448 0*12376 0*6188 0*2380 0*680 0*136 -17 0*1 ","0 - + 0 - 0 0 - + 0 0 0 0 0 0 0 - 0 "
19,4181,"0*1 -18 +153 -816 0*3060 0*8568 0*18564 0*31824 -43758 +48620 0*43758 0*31824 0*18564 0*8568 0*3060 0*816 0*153 0*18 0*1 ","0 - + - 0 0 0 0 - + 0 0 0 0 0 0 0 0 0 "
